"Entity","Contact date","Contact end date","Contact type(s)","Subject","Action of interest","City official(s)","Lobbyist(s)",
"350PDX","01/02/2025","","Indirect Lobbying","Sustainable Development: energy: Stop Zenith Energy","Organizing community members to attend the 1/2/25 City Council meeting and testify about stopping Zenith Energy.","Angelita Morillo; Candace Avalos; Dan Ryan; Dunphy, Jamie; Elana Pirtle-Guiney,; Eric Zimmerman; Jamie Dunphy; Loretta Smith; Mitch Green; Sameer Kanal; Steve Novick; Tiffany Koyama Lane","Dineen Crowe",
"350PDX","01/10/2025","","Meeting Preparation","Sustainable Development: energy: Stop Zenith Energy","Preparing for a meeting with 6 Councilors and staff about issues regarding Zenith Energy. ","Andre Miller; Angelita Morillo; Candace Avalos; Dunphy, Jamie; Emory Mort; Jamie Dunphy; Maria Sipin; Mitch Green; Sameer Kanal; Tiffany Koyama Lane","Dineen Crowe",
"350PDX","01/21/2025","","Committee Meeting","Sustainable Development: energy: Stop Zenith Energy","Testifying to City Council in opposition of Zenith Energy during the Work Session on Zenith Energy. ","Angelita Morillo; Candace Avalos; Dan Ryan; Donnie Oliveira; Dunphy, Jamie; Elana Pirtle-Guiney,; Eric Zimmerman; Jamie Dunphy; Keith Wilson; Loretta Smith; Mitch Green; Olivia Clark; Sameer Kanal; Steve Novick; Tiffany Koyama Lane","Dineen Crowe",
"350PDX","01/23/2025","","Goodwill Building (non-lobbying)","Environment: natural","Councilor Avalos spoke at our Action Night, sharing about changes to city governance","Candace Avalos","Cherice Bock",
"350PDX","01/23/2025","","Email","Environment: natural","Sent letter from Shade Equity Coalition to all new council members introducing the coalition and our Platform. ","Angelita Morillo; Candace Avalos; Dan Ryan; Dunphy, Jamie; Elana Pirtle-Guiney,; Eric Zimmerman; Jamie Dunphy; Loretta Smith; Mitch Green; Olivia Clark; Sameer Kanal; Steve Novick; Tiffany Koyama Lane","Brenna Bell",
"350PDX","01/24/2025","","Email","Sustainable Development: energy: Stop Zenith Energy","Sharing a fact-checking document created after the Zenith Work Session on 1/21/25 - fact-checking claims made by City Staff during this work session.  ","Angelita Morillo; Candace Avalos; Dan Ryan; Donnie Oliveira; Dunphy, Jamie; Elana Pirtle-Guiney,; Eric Zimmerman; Jamie Dunphy; Keith Wilson; Loretta Smith; Mitch Green; Olivia Clark; Sameer Kanal; Steve Novick; Tiffany Koyama Lane","Dineen Crowe",
"350PDX","02/13/2025","","Email","Environment: natural","Request for meeting and subsequent emails to arrange","Spencer Knowles; Steve Novick","Cherice Bock",
"350PDX","02/13/2025","","Email","Environment: natural","Request for a meeting about climate and environment, subsequent emails about Climate, Resilience, and Land Use Committee opportunity for public comment","Andre Miller; Angelita Morillo","Cherice Bock",
"350PDX","02/19/2025","","Indirect Lobbying","Sustainable Development: energy: Stop Zenith Energy","Organizing community members to attend and testify at 2/19/25 City Council meeting, in regards to passing resolution about Zenith Energy","Angelita Morillo; Candace Avalos; Dan Ryan; Dunphy, Jamie; Elana Pirtle-Guiney,; Eric Zimmerman; Jamie Dunphy; Keith Wilson; Loretta Smith; Mitch Green; Olivia Clark; Sameer Kanal; Steve Novick; Tiffany Koyama Lane","Dineen Crowe",
"350PDX","02/25/2025","","Email","Environment: natural","Request for meeting with constituents regarding climate and environmental justice priorities, subsequent emails to arrange a date","Candace Avalos; Eva Stanganelli; Sofia Diffee","Cherice Bock",
"350PDX","02/25/2025","","Email","Environment: natural","Request for constituent meeting to discuss climate and environmental justice priorities","Loretta Smith","Cherice Bock",
"350PDX","02/25/2025","","Email","Environment: natural","Request for meeting with constituents about climate and environmental justice priorities","Dan Ryan","Cherice Bock",
"350PDX","02/25/2025","","Email","Environment: natural","Request for constituent meeting to discuss climate and environmental justice priorities, subsequent emails to arrange a time","Dunphy, Jamie; Eva Stanganelli","Cherice Bock",
"350PDX","03/03/2025","","Personal Meeting","Environment: natural","Discuss Shade Equity Platform and upcoming Urban Forest Plan revision","Maria Sipin; Mitch Green","Brenna Bell",
