"Entity","Contact date","Contact type","Subject","Action of interest","City official(s)","Lobbyist(s)",
"Airbnb, Inc.","07/01/2014","Personal Meeting","Planning","Short-Term Rental","Dingfelder, Jackie; Frost, Liam; Gardipee, Kathleen; Grumm, Matthew; Warner, Chris","Daniel E Jarman; David Owen",
"Airbnb, Inc.","07/02/2014","Email","Planning","Short-Term Rental","Dingfelder, Jackie; Frost, Liam; Gardipee, Kathleen; Grumm, Matthew","Daniel E Jarman",
"Airbnb, Inc.","07/14/2014","Email","Planning","Short-Term Rental","Dingfelder, Jackie","Daniel E Jarman",
"Airbnb, Inc.","07/16/2014","Email","Planning","Short-Term Rental","Dingfelder, Jackie","Daniel E Jarman",
"Airbnb, Inc.","07/16/2014","Telephone","Planning","Short-Term Rental","Dingfelder, Jackie","Daniel E Jarman",
"Airbnb, Inc.","07/16/2014","Email","Planning","Short-Term Rental","Dingfelder, Jackie","Daniel E Jarman",
"Airbnb, Inc.","07/19/2014","Email","Planning","Short-Term Rental","Dingfelder, Jackie","Daniel E Jarman",
"Airbnb, Inc.","07/21/2014","Email","Planning","Short-Term Rental","Gardipee, Kathleen; Warner, Chris","Daniel E Jarman",
"Airbnb, Inc.","07/24/2014","Personal Meeting","Planning","Short-Term Rental","Fritz, Amanda","Daniel E Jarman; David Owen",
"Airbnb, Inc.","07/24/2014","Personal Meeting","Planning","Short-Term Rental","Bizeau, Tom; Dingfelder, Jackie; Frost, Liam; Gardipee, Kathleen; Grumm, Matthew; Manning, Traci; Robinson, Matthew; Schultz, Katherine","Daniel E Jarman; David Owen",
"Airbnb, Inc.","07/28/2014","Personal Meeting","Planning","Short-Term Rental","Dingfelder, Jackie; Robinson, Matthew","Daniel E Jarman",
"Airbnb, Inc.","07/29/2014","Telephone","Planning","Short-Term Rental","Grumm, Matthew","Daniel E Jarman",
"Airbnb, Inc.","07/31/2014","Personal Meeting","Planning","Short-Term Rental","Hales, Charlie; Novick, Steve","David Owen",
"Airbnb, Inc.","08/06/2014","Personal Meeting","Planning","Short-Term Rental","Dingfelder, Jackie; Gardipee, Kathleen","Daniel E Jarman; David Owen",
"Airbnb, Inc.","08/14/2014","Personal Meeting","Planning","Short-Term Rental","Bizeau, Tom; Frost, Liam; Gardipee, Kathleen; Grumm, Matthew; Manning, Traci; Robinson, Matthew; Schultz, Katherine","Daniel E Jarman; David Owen",
"Airbnb, Inc.","09/09/2014","Telephone","Planning","Short-Term Rental","Dingfelder, Jackie","Daniel E Jarman",
"Airbnb, Inc.","09/09/2014","Email","Planning","Short-Term Rental","Dingfelder, Jackie","Daniel E Jarman",
"Airbnb, Inc.","09/10/2014","Personal Meeting","Planning","Short-Term Rental","Frost, Liam; Gardipee, Kathleen; Grumm, Matthew; Manning, Traci; Perry, Dora; Robinson, Matthew","Daniel E Jarman; David Owen",
"Airbnb, Inc.","09/16/2014","Personal Meeting","Planning","Short-Term Rental","Dingfelder, Jackie; Gardipee, Kathleen; Robinson, Matthew","Daniel E Jarman",
"Airbnb, Inc.","09/24/2014","Telephone","Planning","Short-Term Rental","Dingfelder, Jackie","Daniel E Jarman",
"Airbnb, Inc.","07/18/2014","Telephone","Planning","Emergency Management","Warner, Chris","Daniel E Jarman",
"Airbnb, Inc.","07/27/2014","Email","Planning","Emergency Management","Gardipee, Kathleen; Warner, Chris","Daniel E Jarman",
"Airbnb, Inc.","07/27/2014","Email","Planning","Emergency Management","Alpert, Josh; Dingfelder, Jackie","Daniel E Jarman",
"Columbia Corridor Association","08/06/2014","Personal Meeting","Transportation: streets, sidewalks and street lighting","Our Streets","Alpert, Josh; Warner, Chris","Corky Collier",
"Columbia Corridor Association","07/01/2014","Telephone","Transportation: streets, sidewalks and street lighting","Our Streets","Fish, Nick","Corky Collier",
"Columbia Corridor Association","08/11/2014","Personal Meeting","Transportation: streets, sidewalks and street lighting","Our Streets","Alpert, Josh; Warner, Chris","Corky Collier",
"Columbia Corridor Association","08/18/2014","Personal Meeting","Transportation: streets, sidewalks and street lighting","Our Streets","Alpert, Josh","Corky Collier",
"Columbia Corridor Association","09/18/2014","Email","Transportation: streets, sidewalks and street lighting","general update","Fish, Nick","Corky Collier",
"Columbia Corridor Association","08/28/2014","Personal Meeting","Transportation: streets, sidewalks and street lighting","Our streets","Alpert, Josh; Warner, Chris","Corky Collier",
"Columbia Corridor Association","09/10/2014","Personal Meeting","Transportation: streets, sidewalks and street lighting","Our Streets","Alpert, Josh","Corky Collier",
"Columbia Corridor Association","09/19/2014","Personal Meeting","Transportation: streets, sidewalks and street lighting","Our Streets update for Board","Alpert, Josh","Corky Collier",
"Columbia Corridor Association","07/24/2014","Committee Meeting","Transportation: streets, sidewalks and street lighting","TSP","Treat, Leah","Corky Collier",
"Columbia Corridor Association","07/17/2014","Committee Meeting","Transportation: streets, sidewalks and street lighting","Our Streets","Novick, Steve","Corky Collier",
"Columbia Corridor Association","08/07/2014","Committee Meeting","Transportation: streets, sidewalks and street lighting","Our Streets","Novick, Steve","Corky Collier",
"Columbia Corridor Association","08/26/2014","Committee Meeting","Transportation: streets, sidewalks and street lighting","Our Streets","Novick, Steve","Corky Collier",
"Columbia Corridor Association","09/02/2014","Committee Meeting","Other: PBOT staff meeting","Wage gap data","Treat, Leah","Corky Collier",
"Columbia Corridor Association","09/16/2014","Committee Meeting","Transportation: streets, sidewalks and street lighting","Our Streets","Novick, Steve","Corky Collier",
"Columbia Corridor Association","09/23/2014","Committee Meeting","Housing and Community Development","Food Bank event","Hales, Charlie","Corky Collier",
