"Entity","Contact date","Contact type","Subject","Action of interest","City official(s)","Lobbyist(s)",
"ACLU of Oregon","02/23/2023","Virtual Meeting","Other: Charter change","Met with Lee to understand City's current process/updates about charter change implementation - 12 council mbrs, ranked choice voting & city manager.","Lee, Bobby","Sandy Chung",
"ACLU of Oregon","02/13/2023","Virtual Meeting","Other: Resolution proposing transparency advocate for the City in the City's Charter","Spoke to Commissioner's Ryan's office & advocated for support for resolution that proposes transparency advocate for the City in the City's Charter.","McHugh, Thomas","Jude Stone",
"ACLU of Oregon","02/07/2023","Virtual Meeting","Other: Resolution proposing transparency advocate for the City in the City's Charter","Spoke to Michelle Depass & advocated for support for resolution that proposes transparency advocate for the City in the City's Charter. Depass not listed in field below.","Rubio, Carmen","Jude Stone",
"ACLU of Oregon","01/12/2023","Virtual Meeting","Other: Resolution proposing transparency advocate for the City in the City's Charter","Spoke to Commissioner's Ryan's office & advocated for support for resolution that proposes transparency advocate for the City in the City's Charter.","Pahl, Jackson","Jude Stone",
"AT&T","03/23/2023","Email","Other: Right of Way ","Telecommunications ","Perez, Elisabeth","Ken Lyons ",
"AT&T","03/30/2023","Telephone","Other: Right of Way ","Telecommunications ","Perez, Elisabeth","Ken Lyons ",
"Central Eastside Industrial Council","01/05/2023","Virtual Meeting","Other: Business & Economic Development","Central Eastside Weekly Update","Eric Zimmerman","Avery Morris ; Carolyne Holcomb; Clare Briglio ",
"Central Eastside Industrial Council","01/06/2023","Meeting Preparation","Other: Business & Economic Development","90-Day Reset","Eric Zimmerman","Avery Morris ; Carolyne Holcomb; Clare Briglio ",
"Central Eastside Industrial Council","01/12/2023","Virtual Meeting","Other: Business & Economic Development","Central Eastside Weekly Update","Eric Zimmerman","Avery Morris ; Carolyne Holcomb; Clare Briglio ",
"Central Eastside Industrial Council","01/19/2023","Virtual Meeting","Other: Business & Economic Development","Central Eastside Weekly Update","Eric Zimmerman","Avery Morris ; Carolyne Holcomb; Clare Briglio ",
"Central Eastside Industrial Council","01/24/2023","Personal Meeting","Other: Business & Economic Development","90-Day Reset","Bowman, Cody; Eric Zimmerman; Mimica, Mila","Avery Morris ; Carolyne Holcomb; Clare Briglio ",
"Central Eastside Industrial Council","01/24/2023","Telephone","Other: Business & Economic Development","90-Day Reset","Lyons, Adam","Clare Briglio ",
"Central Eastside Industrial Council","01/25/2023","Virtual Meeting","Other: Business & Economic Development","90-Day Reset","Eric Zimmerman; Wheeler, Ted","Carolyne Holcomb; Clare Briglio ; Eric Cress",
"Central Eastside Industrial Council","01/26/2023","Virtual Meeting","Other: Business & Economic Development","90-Day Reset","Eric Zimmerman; Wheeler, Ted","Carolyne Holcomb; Clare Briglio ; Eric Cress",
"Central Eastside Industrial Council","02/02/2023","Virtual Meeting","Other: Business & Economic Development","Central Eastside Weekly Update","Eric Zimmerman","Avery Morris ; Carolyne Holcomb; Clare Briglio ",
"Central Eastside Industrial Council","02/09/2023","Virtual Meeting","Other: Business & Economic Development","Central Eastside Weekly Update","Eric Zimmerman","Avery Morris ; Carolyne Holcomb; Clare Briglio ",
"Central Eastside Industrial Council","02/16/2023","Virtual Meeting","Other: Business & Economic Development","Central Eastside Weekly Update","Eric Zimmerman","Avery Morris ; Carolyne Holcomb; Clare Briglio ",
"Central Eastside Industrial Council","02/23/2023","Virtual Meeting","Other: Business & Economic Development","Central Eastside Weekly Update","Eric Zimmerman","Avery Morris ; Carolyne Holcomb; Clare Briglio ",
"Central Eastside Industrial Council","03/02/2023","Virtual Meeting","Other: Business & Economic Development","Central Eastside Weekly Update","Eric Zimmerman","Avery Morris ; Carolyne Holcomb; Clare Briglio ",
"Central Eastside Industrial Council","03/09/2023","Virtual Meeting","Other: Business & Economic Development","Central Eastside Weekly Update","Eric Zimmerman","Avery Morris ; Carolyne Holcomb; Clare Briglio ",
"Central Eastside Industrial Council","03/16/2023","Virtual Meeting","Other: Business & Economic Development","Central Eastside Weekly Update","Eric Zimmerman","Avery Morris ; Carolyne Holcomb; Clare Briglio ",
"Central Eastside Industrial Council","03/23/2023","Virtual Meeting","Other: Business & Economic Development","Central Eastside Weekly Update","Eric Zimmerman","Avery Morris ; Carolyne Holcomb; Clare Briglio ",
"Central Eastside Industrial Council","03/30/2023","Virtual Meeting","Other: Business & Economic Development","Central Eastside Weekly Update","Eric Zimmerman","Avery Morris ; Carolyne Holcomb; Clare Briglio ",
"Columbia Corridor Association","01/03/2023","Email","Business and Economic Development","Easement for Columbia Steel site.","Jordan, Michael","Corky Collier",
"Columbia Corridor Association","01/04/2023","Email","Business and Economic Development","Columbia Steel easement","Lee, Bobby","Corky Collier",
"Columbia Corridor Association","01/05/2023","Email","Business and Economic Development","Columbia Steel easement","Lee, Bobby; Meyer, Katie; Rodriguez, Michelle","Corky Collier",
"Columbia Corridor Association","01/09/2023","Email","Business and Economic Development","columbia steel easement","Rodriguez, Michelle","Corky Collier",
"Columbia Corridor Association","01/17/2023","Email","Other: notice of departure from PBOT","informing me that he was departing his position at PBOT","Warner Chris","Corky Collier",
"Columbia Corridor Association","01/20/2023","Email","Business and Economic Development","road easement for Columbia Steel","Rodriguez, Michelle","Corky Collier",
"Columbia Corridor Association","01/25/2023","Virtual Meeting","Business and Economic Development","Easement on BES property","Rodriguez, Michelle","Corky Collier",
"Columbia Corridor Association","02/09/2023","Committee Meeting","Sustainable Development: energy","industrial symbiosis hub study","Oliveira, Donald; Schoene, Jillian","Corky Collier",
