"Entity","Contact date","Contact type","Subject","Action of interest","City official(s)","Lobbyist(s)",
"Broadway Cab LLC","04/01/2015","Email","Business and Economic Development","requesting information re: testimony policy","Alpert, Josh","Raye Miles; Stephen Kafoury",
"Broadway Cab LLC","04/01/2015","Telephone","Business and Economic Development","request for information re: meeting with commissioner","Frost, Liam","Raye Miles; Stephen Kafoury",
"Broadway Cab LLC","04/02/2015","Committee Meeting","Business Licenses","attended Task Force meeting","Hockaday Bryan","Raye Miles; Stephen Kafoury",
"Broadway Cab LLC","04/06/2015","Meeting Preparation","Business Licenses","planning for Task Force presentation","Hockaday Bryan","Raye Miles; Stephen Kafoury",
"Broadway Cab LLC","04/09/2015","Committee Meeting","Business Licenses","testimony at city council","Hales, Charlie","Raye Miles; Stephen Kafoury",
"Broadway Cab LLC","04/10/2015","Personal Meeting","Business Licenses","meeting with city council staff re: taxi regulations","Frost, Liam","Raye Miles; Stephen Kafoury",
"Broadway Cab LLC","04/16/2015","Meeting Preparation","Business Licenses","preparation for Task Force meetng","Hockaday Bryan","Raye Miles; Stephen Kafoury",
"Broadway Cab LLC","04/21/2015","Meeting Preparation","Business Licenses","preparation for Task Fore meeting","Hockaday Bryan","Raye Miles; Stephen Kafoury",
"Broadway Cab LLC","04/15/2015","Personal Meeting","Business Licenses","discussion of taxi regulations","Grumm, Matthew","Raye Miles; Stephen Kafoury",
"Broadway Cab LLC","04/15/2015","Personal Meeting","Business Licenses","discussion of taxi regulations with Claire Adamsick","Fritz, Amanda","Raye Miles; Stephen Kafoury",
"Broadway Cab LLC","05/04/2015","Email","Business Licenses","request information about Task Force schedule","Hockaday Bryan","Raye Miles; Stephen Kafoury",
"Broadway Cab LLC","05/21/2015","Meeting Preparation","Business Licenses","preparation for Task Force meeting","Hockaday Bryan","Raye Miles; Stephen Kafoury",
"Broadway Cab LLC","06/09/2015","Committee Meeting","Business Licenses","attended Task Force meeting","Hockaday Bryan","Raye Miles; Stephen Kafoury",
"Broadway Cab LLC","06/15/2015","Personal Meeting","Business Licenses","met with chair and staff of Task Force","Hockaday Bryan","Raye Miles; Stephen Kafoury",
"Broadway Cab LLC","06/24/2015","Committee Meeting","Business Licenses","attended Task Force","Hockaday Bryan","Raye Miles; Stephen Kafoury",
"Broadway Cab LLC","06/25/2015","Committee Meeting","Business Licenses","attended Task Force","Hockaday Bryan","Raye Miles; Stephen Kafoury",
"League of Women Voters of Portland","04/14/2015","Email","Other: Parks SDCs","support Parks System Development Charge methodology update report","Blackwood, Jim; Dingfelder, Jackie; Fish, Nick; Fritz, Amanda; Grumm, Matthew; Hales, Charlie; Howard, Patti; Novick, Steve; Saltzman, Dan; Shriver, Katie","Debbie Aiona",
"League of Women Voters of Portland","04/21/2015","Personal Meeting","Other: Access to city appeals processes ","meeting to discuss ombudsman and auditor's proposal to standardize fees and inform public of their right to appeal city decisions","Hull Caballero, Mary","Debbie Aiona",
"League of Women Voters of Portland","04/20/2015","Email","Other: Access to city appeals processes","support ombudsman and auditor's proposal to standardize fees and inform public of right to appeal city decisions","Blackwood, Jim; Crail, Tim; Finn, Brendan; Fish, Nick; Fritz, Amanda; Hales, Charlie; Hockaday Bryan; Novick, Steve; Saltzman, Dan; Stover, Chad","Margaret Noel; Mary McWilliams",
"League of Women Voters of Portland","06/02/2015","Email","Water","support creation of Public Utilities Board ","Blackwood, Jim; Fish, Nick; Fritz, Amanda; Hales, Charlie; Novick, Steve; Saltzman, Dan","Debbie Aiona",
"League of Women Voters of Portland","06/18/2015","Personal Meeting","Other: South Waterfront North District Development Agreement ","discuss areas of concern related to parks in the development agreement","Howard, Patti","Debbie Aiona",
"League of Women Voters of Portland","06/19/2015","Telephone","Other: South Waterfront North District Development Agreement ","discuss areas of concern related to parks in the development agreement","Fritz, Amanda","Debbie Aiona; Shelley Lorenzen",
"League of Women Voters of Portland","06/21/2015","Email","Housing and Community Development","Support changes to Central City Floor Area Ratio Bonus System ","Fish, Nick; Fritz, Amanda; Hales, Charlie; Novick, Steve; Saltzman, Dan","Debbie Aiona; Margaret Noel",
"League of Women Voters of Portland","06/23/2015","Email","Other: South Waterfront North District Development Agreement","Encourage City Council to address exposures and risks in development agreement before approval.","Detweiler, Jillian; Fish, Nick; Fritz, Amanda; Frost, Liam; Hales, Charlie; Howard, Patti; Novick, Steve; Saltzman, Dan; Shriver, Katie","Debbie Aiona; Margaret Noel; Shelley Lorenzen",
"Oregon Citizens' Utility Board","04/02/2015","Personal Meeting","Environment: sewer/storm water","invited testimony on SDCs during BES budget work session","Blackwood, Jim; Fish, Nick; Fritz, Amanda; Hales, Charlie; Novick, Steve; Schmanski, Sonia","Janice Thompson; Jeff Bissonnette",
"Oregon Citizens' Utility Board","04/20/2015","Telephone","Environment: sewer/storm water","PUB, Auditor's administrative justice proposal","Blackwood, Jim","Janice Thompson",
"Oregon Citizens' Utility Board","05/07/2015","Telephone","Water","regional emergency day; rate structure","Shaff, David","Janice Thompson",
"Oregon Citizens' Utility Board","05/07/2015","Personal Meeting","Other: Sewer","utility budget hearing","Blackwood, Jim; Fish, Nick; Fritz, Amanda; Hales, Charlie; Novick, Steve; Schmanski, Sonia","Jeff Bissonnette",
"Oregon Citizens' Utility Board","05/13/2015","Telephone","Other: Water","PUB ordinance","Blackwood, Jim","Janice Thompson",
"Oregon Citizens' Utility Board","05/21/2015","Personal Meeting","Other: Water","testimony at utility rate hearing","Blackwood, Jim; Fish, Nick; Fritz, Amanda; Hales, Charlie; Novick, Steve; Saltzman, Dan; Schmanski, Sonia","Janice Thompson",
"Oregon Citizens' Utility Board","05/29/2015","Personal Meeting","Water","general PWB issues","Frost, Liam","Janice Thompson",
"Oregon Citizens' Utility Board","06/01/2015","Personal Meeting","Other: Water","general utility issues","Dingfelder, Jackie","Jeff Bissonnette",
"Oregon Citizens' Utility Board","06/02/2015","Telephone","Neighborhood Livability: noise","general PWB issues","Frost, Liam","Janice Thompson",
