"Entity","Contact date","Contact type","Subject","Action of interest","City official(s)","Lobbyist(s)",
"1000 Friends of Oregon","01/31/2019","Personal Meeting","Housing and Community Development","Residential Infill Program","Dunphy, Jamie","Sam Diaz",
"1000 Friends of Oregon","02/11/2019","Personal Meeting","Housing and Community Development","Residential Infill Program","Hardesty, Jo Ann","Sam Diaz",
"Airbnb, Inc.","01/23/2019","Telephone","Planning","Pass through registration","Dennis, Kristin","Dan Jarman; Justin Freeman",
"Airbnb, Inc.","01/24/2019","Email","Planning","Pass through registration","Dennis, Kristin","Dan Jarman; Justin Freeman",
"Airbnb, Inc.","01/25/2019","Telephone","Planning","Pass through registration","Dennis, Kristin","Dan Jarman; Justin Freeman",
"Airbnb, Inc.","01/25/2019","Email","Planning","Pass through registration","Dennis, Kristin","Dan Jarman; Justin Freeman",
"Airbnb, Inc.","01/29/2019","Email","Planning","Pass through registration","Dennis, Kristin","Dan Jarman; Justin Freeman",
"Airbnb, Inc.","02/01/2019","Personal Meeting","Financial Administration and Management","Tax auditing","Edwards, Elizabeth","Dan Jarman; Justin Freeman",
"Airbnb, Inc.","02/08/2019","Telephone","Financial Administration and Management","Meeting","Lannom, Thomas","Laura Spanjian",
"American Beverage Association ","01/16/2019","Personal Meeting","Other: Taxation","Taxation Policy","Arguinzoni, Jennifer ; Chisek, Kyle ","Dan Bates",
"AT&T","02/04/2019","Personal Meeting","Business and Economic Development","Discussion of telecommunications infrastructure","Perez, Elisabeth","Dan Bates",
"AT&T","02/12/2019","Telephone","Business and Economic Development","Discussion of telecommunications infrastructure","Perez, Elisabeth","Dan Bates",
"AT&T","02/13/2019","Telephone","Business and Economic Development","Discussion of telecommunications infrastructure","Perez, Elisabeth","Dan Bates",
"AT&T","02/13/2019","Personal Meeting","Business and Economic Development","Discussion of telecommunications infrastructure","Perez, Elisabeth","Dan Bates; George Granger",
"AT&T","02/14/2019","Personal Meeting","Business and Economic Development","Discussion of telecommunications infrastructure.","Perez, Elisabeth; Runkel, Marshall","Dan Bates; George Granger; Richard Roche",
"AT&T","02/25/2019","Telephone","Business and Economic Development","Discussion of telecommunications infrastructure","Perez, Elisabeth","Dan Bates",
"AT&T","02/28/2019","Telephone","Business and Economic Development","Discussion of telecommunications infrastructure","Perez, Elisabeth","Dan Bates",
"AT&T","03/11/2019","Telephone","Business and Economic Development","Discussion of telecommunications infrastructure","Perez, Elisabeth","Dan Bates",
"AT&T","03/20/2019","Telephone","Business and Economic Development","Discussion of telecommunications infrastructure","Perez, Elisabeth","Dan Bates",
"AT&T","01/16/2019","Personal Meeting","Business and Economic Development","Discussion of telecommunications infrastructure","Arguinzoni, Jennifer ; Chisek, Kyle ","Dan Bates",
"BRIDGE Housing Corporation","03/19/2019","Email","Other: RiverPlace 3 Phase 1 Development ","Reconciliation of final payment of land contract between Prosper Portland and affiliate of BRIDGE Housing Corporation","Branam, Kimberly","Erik Sten",
