"Entity","Contact date","Contact type","Subject","Action of interest","City official(s)","Lobbyist(s)",
"1000 Friends of Oregon","07/09/2024","Personal Meeting","Housing and Community Development","housing policy","Helmi Hisserich","Sam Diaz",
"Beam Development & Colas Development","08/12/2024","Personal Meeting","Arts and Culture","Central Eastside venue","Branam, Kimberly","Amy Ruiz",
"Beam Development & Colas Development","08/21/2024","Telephone","Arts and Culture","Central Eastside venue","McHugh, Thomas","Amy Ruiz",
"Beam Development & Colas Development","08/21/2024","Telephone","Arts and Culture","Central Eastside venue","Smith, Shah","Amy Ruiz",
"Beam Development & Colas Development","08/20/2024","Telephone","Arts and Culture","Central Eastside venue","Christina Ghan","Amy Ruiz",
"Beam Development & Colas Development","08/20/2024","Telephone","Arts and Culture","Central Eastside venue","Schoene, Jillian","Amy Ruiz",
"Beam Development & Colas Development","08/19/2024","Telephone","Arts and Culture","Central Eastside venue","Robert Fitzpatrick","Amy Ruiz",
"Beam Development & Colas Development","08/19/2024","Text Message","Arts and Culture","Central Eastside venue","Robert Fitzpatrick","Amy Ruiz",
"Beam Development & Colas Development","08/19/2024","Text Message","Arts and Culture","Central Eastside venue","Rodriguez, Michelle","Amy Ruiz",
"Beam Development & Colas Development","08/19/2024","Text Message","Arts and Culture","Central Eastside venue","McHugh, Thomas","Amy Ruiz",
"Beam Development & Colas Development","08/19/2024","Text Message","Arts and Culture","Central Eastside venue","Schoene, Jillian","Amy Ruiz",
"Beam Development & Colas Development","08/19/2024","Text Message","Arts and Culture","Central Eastside venue","Smith, Shah","Amy Ruiz",
"Beam Development & Colas Development","09/05/2024","Telephone","Arts and Culture","Central Eastside venue","Schoene, Jillian","Andrew Colas",
"Beam Development & Colas Development","09/05/2024","Telephone","Arts and Culture","Central Eastside venue","Rubio, Carmen","Andrew Colas",
"Beam Development & Colas Development","09/04/2024","Personal Meeting","Arts and Culture","Central Eastside venue","Smith, Shah","Amy Ruiz",
"Beam Development & Colas Development","09/06/2024","Telephone","Arts and Culture","Central Eastside venue","Robert Fitzpatrick","Amy Ruiz",
"Beam Development & Colas Development","09/05/2024","Text Message","Arts and Culture","Central Eastside venue","Robert Fitzpatrick","Amy Ruiz",
"Beam Development & Colas Development","09/05/2024","Text Message","Arts and Culture","Central Eastside venue","Smith, Shah","Amy Ruiz",
"Beam Development & Colas Development","09/05/2024","Text Message","Arts and Culture","Central Eastside venue","McHugh, Thomas","Amy Ruiz",
"Beam Development & Colas Development","08/14/2024","Telephone","Arts and Culture","Central Eastside venue","Branam, Kimberly","Amy Ruiz",
