"Entity","Contact date","Contact type","Subject","Action of interest","City official(s)","Lobbyist(s)",
"1000 Friends of Oregon","07/23/2018","Personal Meeting","Planning","Residential Infill project","Duhamel, Jamey; Runkel, Marshall","Madeline Kovacs",
"Airbnb, Inc.","07/26/2018","Email","Other: BUREAU DEVELOPMENT SERVICES","PASS THROUGH REGISTRATION","Lannom, Thomas","Dan Jarman",
"Bird Rides Inc.","07/26/2018","Personal Meeting","Other: Shared Mobility","7/26/18: Bird meeting (Marlo Sandler, Courtney Lee, Jordan Bice) with Commissioner Saltzman and Matt Grumm.","Grumm, Matthew; Saltzman, Dan","Courtney Lee; Jordan Bice",
"Bird Rides Inc.","07/26/2018","Personal Meeting","Other: Shared Mobility","7/26/18: Bird meeting (Marlo Sandler, Courtney Lee, Jordan Bice) with Commissioner Fish's office (Sonia Schmanski, Asena Lawrence) and Commissioner Eudaly’s office (Marshall Runkel, Jamey Duhamel).","Duhamel, Jamey; Lawrence, Asena; Runkel, Marshall; Schmanski, Sonia","Courtney Lee; Jordan Bice",
"Bird Rides Inc.","08/16/2018","Personal Meeting","Other: Shared Mobility","8/16/18: Bird meeting (Courtney Lee and Jordan Bice) with Commissioner Fritz’s office (Tim Crail and Janine Gates). **Ms. Gates is not listed in the City directory. **","Crail, Tim","Courtney Lee; Jordan Bice",
"Bird Rides Inc.","07/23/2018","Meeting Preparation","Other: Shared Mobility","
7/23/18: Internal call to prep for meetings with the offices of Commissioners Fish, Eudaly, and Saltzman.","Eudaly, Chloe; Fish, Nick; Saltzman, Dan","Courtney Lee; Jordan Bice",
"Eaze Technologies, Inc.","07/19/2018","Personal Meeting","Other: Informational/Marijuana Delivery","None","Chisek, Kyle ; Nelson, Berk","Jeremy Siegel; Nels Johnson; Rachel Emory",
"Living Cully","07/24/2018","Personal Meeting","Housing and Community Development","Tenant Opportunity to Purchase","Duhamel, Jamey","Cameron Herrington",
"Living Cully","07/23/2018","Text Message","Housing and Community Development","manufactured housing park zoning","Adamsick, Claire; Duhamel, Jamey","Cameron Herrington",
"Living Cully","07/20/2018","Telephone","Housing and Community Development","manufactured housing zoning","Dunphy, Jamie","Cameron Herrington",
"Living Cully","07/13/2018","Email","Housing and Community Development","manufactured housing zoning","Chisek, Kyle ","Cameron Herrington",
"Living Cully","07/10/2018","Committee Meeting","Housing and Community Development","Manufactured housing park zoning","Bachrach, Jeff; Baugh, Andre; Houck, Mike; Oswill, Andres; Rudd, Michelle; Smith, Chris; Spevak, Eli","Cameron Herrington",
"Living Cully","07/18/2018","Personal Meeting","Housing and Community Development","mobile home park zoning","Adamsick, Claire","Cameron Herrington",
"Living Cully","07/18/2018","Committee Meeting","Housing and Community Development","affordable housing bond acquisition in cully","Eudaly, Chloe; Fish, Nick; Saltzman, Dan; Wheeler, Ted","Cameron Herrington",
"Living Cully","07/19/2018","Email","Housing and Community Development","mobile home park zoning","Duhamel, Jamey; Dunphy, Jamie; Runkel, Marshall","Cameron Herrington",
"Living Cully","07/26/2018","Text Message","Housing and Community Development","mobile home park zoning","Adamsick, Claire","Cameron Herrington",
"Living Cully","08/15/2018","Telephone","Housing and Community Development","mobile home park preservation","Plambeck, Michelle","Cameron Herrington",
"Living Cully","08/16/2018","Email","Housing and Community Development","Mobile home park zoning","Adamsick, Claire","Cameron Herrington",
"Living Cully","08/20/2018","Email","Housing and Community Development","manufactured housing park zoning","Adamsick, Claire","Cameron Herrington",
"Living Cully","07/25/2018","Telephone","Housing and Community Development","Arbor Mobile Home Park","Callahan, Shannon","Cameron Herrington",
"Living Cully","08/07/2018","Personal Meeting","Housing and Community Development","Manufactured Housing Park zoning","Alexander, Cupid; Plambeck, Michelle","Cameron Herrington",
"Living Cully","08/07/2018","Personal Meeting","Housing and Community Development","manufactured housing park zoning","Grumm, Matthew","Cameron Herrington",
"Living Cully","08/20/2018","Email","Housing and Community Development","manufactured housing park zoning","Grumm, Matthew","Cameron Herrington",
