"Entity","Contact date","Contact type","Subject","Action of interest","City official(s)","Lobbyist(s)",
"Broadway Cab LLC","02/01/2015","Meeting Preparation","Business and Economic Development","taxi regulation and Innovation Task Force","Novick, Steve","Stephen Kafoury",
"Broadway Cab LLC","02/19/2015","Committee Meeting","Business Licenses","taxi regulation and Innovation Force","Novick, Steve","Stephen Kafoury",
"Broadway Cab LLC","02/26/2015","Meeting Preparation","Business Licenses","taxi regulation and Innovation Task Force","Novick, Steve","Stephen Kafoury",
"Broadway Cab LLC","03/02/2014","Meeting Preparation","Business Licenses","taxi regulation  and Innovation Task Force ","Novick, Steve","Stephen Kafoury",
"Broadway Cab LLC","03/05/2015","Personal Meeting","Business Licenses","taxi regulation Innovation Task Force","Fish, Nick","Stephen Kafoury",
"Broadway Cab LLC","03/05/2015","Personal Meeting","Business Licenses","taxi regulation and innovation task force","Saltzman, Dan","Stephen Kafoury",
"Broadway Cab LLC","03/09/2015","Meeting Preparation","Business Licenses","taxi regulation and innovation task force","Novick, Steve","Stephen Kafoury",
"Broadway Cab LLC","03/09/2015","Personal Meeting","Business Licenses","taxi regulation and innovation task force","Fish, Nick","Stephen Kafoury",
"Broadway Cab LLC","03/09/2015","Meeting Preparation","Business Licenses","taxi regulation and innovation task force","Novick, Steve","Stephen Kafoury",
"Broadway Cab LLC","03/16/2015","Meeting Preparation","Business Licenses","taxi regulation and innovation task force","Novick, Steve","Stephen Kafoury",
"Broadway Cab LLC","03/20/2015","Personal Meeting","Business Licenses","taxi regulation and innovation task force","Hockaday Bryan","Stephen Kafoury",
"Broadway Cab LLC","02/20/2015","Personal Meeting","Business Licenses","taxi regulation and  innovation task force","Fish, Nick","Stephen Kafoury",
"Broadway Cab LLC","03/20/2015","Personal Meeting","Business Licenses","taxi regulation and innovation  task force","Fish, Nick","Stephen Kafoury",
"Broadway Cab LLC","03/30/2015","Personal Meeting","Business Licenses","taxi regulation and innovation task force","Fish, Nick","Stephen Kafoury",
"Broadway Cab LLC","03/20/2015","Personal Meeting","Business Licenses","taxi regulation and innovation task force","Novick, Steve","Stephen Kafoury",
"Broadway Cab LLC","01/07/2015","Personal Meeting","Business Licenses","taxi regulation and innovation task force","Fish, Nick","Stephen Kafoury",
"Broadway Cab LLC","01/08/2015","Personal Meeting","Business Licenses","taxi regulation and innovation task force","Alpert, Josh","Stephen Kafoury",
"Broadway Cab LLC","01/22/2015","Personal Meeting","Business Licenses","taxi regulation and innovation task force","Saltzman, Dan","Raye Miles",
"Columbia Corridor Association","01/06/2015","Committee Meeting","Transportation: streets, sidewalks and street lighting","Budget Advisory committee meeting","Treat, Leah","Corky Collier",
"Columbia Corridor Association","01/07/2015","Personal Meeting","Other","Council Swearing in ceremony","Fish, Nick","Corky Collier",
"Columbia Corridor Association","01/09/2015","Personal Meeting","Environment: sewer/storm water","BES and transportation projects, middle income wages presentation","Fish, Nick","Corky Collier",
"Columbia Corridor Association","01/13/2015","Committee Meeting","Water","Oregon Solutions Levee repairs","Dingfelder, Jackie; Hales, Charlie","Corky Collier",
"Columbia Corridor Association","01/20/2015","Committee Meeting","Transportation: streets, sidewalks and street lighting","PBOT budget adv committee ","Treat, Leah","Corky Collier",
"Columbia Corridor Association","01/28/2015","Personal Meeting","Environment: sewer/storm water","discussion of right of way use with Jim Hagerman. We did not meet with Nick Fish. Hagerman's name is not on the list","Fish, Nick","Corky Collier",
