"Entity","Contact date","Contact type","Subject","Action of interest","City official(s)","Lobbyist(s)",
"Airbnb, Inc.","04/09/2014","Telephone","Planning","RICAP 6","Alpert, Josh; Dingfelder, Jackie","Daniel E Jarman",
"Airbnb, Inc.","04/16/2014","Personal Meeting","Planning","RICAP 6","Saltzman, Dan; Warner, Chris","Daniel E Jarman; Molly Turner",
"Airbnb, Inc.","04/17/2014","Personal Meeting","Planning","RICAP 6","Alpert, Josh; Dingfelder, Jackie; Frost, Liam","Daniel E Jarman; Molly Turner",
"Airbnb, Inc.","04/20/2014","Email","Planning","RICAP 6","Alpert, Josh; Dingfelder, Jackie","Daniel E Jarman",
"Airbnb, Inc.","04/21/2014","Email","Planning","RICAP 6","Alpert, Josh; Dingfelder, Jackie","Daniel E Jarman",
"Airbnb, Inc.","04/22/2014","Personal Meeting","Planning","RICAP 6","Alpert, Josh; Dingfelder, Jackie; Fritz, Amanda","Daniel E Jarman; Molly Turner",
"Airbnb, Inc.","04/28/2014","Telephone","Planning","RICAP 6","Alpert, Josh; Dingfelder, Jackie","Daniel E Jarman; Molly Turner",
"Airbnb, Inc.","05/02/2014","Telephone","Planning","RICAP 6","Alpert, Josh","Daniel E Jarman",
"Airbnb, Inc.","05/08/2014","Telephone","Planning","RICAP 6","Alpert, Josh","Daniel E Jarman; Molly Turner",
"Airbnb, Inc.","05/12/2014","Telephone","Planning","RICAP 6","Dingfelder, Jackie","Daniel E Jarman",
"Airbnb, Inc.","05/14/2014","Email","Planning","RICAP 6","Bizeau, Tom","Daniel E Jarman",
"Airbnb, Inc.","05/16/2014","Email","Planning","RICAP 6","Alpert, Josh; Dingfelder, Jackie","Daniel E Jarman",
"Airbnb, Inc.","05/19/2014","Telephone","Planning","RICAP 6","Dingfelder, Jackie","Daniel E Jarman",
"Airbnb, Inc.","05/20/2014","Telephone","Planning","RICAP 6","Dingfelder, Jackie","Daniel E Jarman",
"Airbnb, Inc.","05/21/2014","Email","Planning","RICAP 6","Bizeau, Tom; Perry, Dora","Daniel E Jarman",
"Airbnb, Inc.","05/21/2014","Email","Planning","RICAP 6","Warner, Chris","Daniel E Jarman",
"Airbnb, Inc.","05/27/2014","Personal Meeting","Planning","RICAP 6","Frost, Liam; Shriver, Katie","Daniel E Jarman; Molly Turner",
"Airbnb, Inc.","05/27/2014","Personal Meeting","Planning","RICAP 6","Alpert, Josh; Dingfelder, Jackie","Daniel E Jarman; Molly Turner",
"Airbnb, Inc.","05/27/2014","Personal Meeting","Planning","RICAP 6","Saltzman, Dan","Daniel E Jarman; Molly Turner",
"Airbnb, Inc.","05/27/2014","Personal Meeting","Planning","RICAP 6","Crail, Tim; Perry, Dora","Daniel E Jarman; Molly Turner",
"Airbnb, Inc.","05/30/2014","Telephone","Planning","RICAP 6","Alpert, Josh","Daniel E Jarman",
"Airbnb, Inc.","06/02/2014","Email","Planning","RICAP 6","Shriver, Katie","Daniel E Jarman",
"Airbnb, Inc.","06/02/2014","Email","Planning","RICAP 6","Frost, Liam","Daniel E Jarman",
"Airbnb, Inc.","06/03/2014","Telephone","Planning","RICAP 6","Dingfelder, Jackie","Daniel E Jarman",
"Airbnb, Inc.","06/03/2014","Telephone","Planning","RICAP 6","Grumm, Matthew","Daniel E Jarman",
"Airbnb, Inc.","06/03/2014","Telephone","Planning","RICAP 6","Shriver, Katie","Daniel E Jarman",
"Airbnb, Inc.","06/03/2014","Telephone","Planning","RICAP 6","Frost, Liam","Daniel E Jarman",
"Airbnb, Inc.","06/03/2014","Email","Planning","RICAP 6","Alpert, Josh; Dingfelder, Jackie; Frost, Liam; Grumm, Matthew; Shriver, Katie","Daniel E Jarman",
"Airbnb, Inc.","06/04/2014","Personal Meeting","Planning","RICAP 6","Quinton, Patrick","Daniel E Jarman; Molly Turner",
