"Entity","Contact date","Contact end date","Contact type(s)","Subject","Action of interest","City official(s)","Lobbyist(s)",
"1803 Fund","07/16/2025","","Virtual Meeting","Planning","Development Partnership. ","Donnie Oliveira","Thomas Cody ",
"1803 Fund","07/28/2025","","Virtual Meeting","Planning","Planning. ","Donnie Oliveira","Thomas Cody ",
"1803 Fund","08/15/2025","","Virtual Meeting","Planning","Planning. ","Aisling Coghlan; Raihana Ansary ","Thomas Cody ",
"1803 Fund","08/26/2025","","Goodwill Building (non-lobbying)","Planning","Goodwill Building. ","Aisling Coghlan","Cyreena Boston Ashby ",
"1803 Fund","08/26/2025","","Goodwill Building (non-lobbying)","Planning","Goodwill Building. ","Cornell Wesley","Cyreena Boston Ashby ",
"1803 Fund","08/29/2025","","Virtual Meeting","Planning","Planning. ","Aisling Coghlan; Donnie Oliveira; Raihana Ansary ","Cyreena Boston Ashby ; Thomas Cody ",
"1803 Fund","09/12/2025","","Telephone","Planning","Planning. ","Donnie Oliveira","Cyreena Boston Ashby ; Thomas Cody ",
"1803 Fund","09/17/2025","","Personal Meeting","Planning","Planning. ","David Kuhnhausen; Donnie Oliveira; Eric Engstrom; Raihana Ansary ","Cyreena Boston Ashby ; Thomas Cody ",
"350PDX","07/01/2025","07/17/2025","Communication Preparation; Email","Environment: natural","Supporting flood hazard amendments to comply with the Endangered Species Act, retaining FEMA flood insurance","Angelita Morillo; Candace Avalos; Dan Ryan; Elana Pirtle-Guiney; Eric Zimmerman; Jamie Dunphy; Loretta Smith; Mitch Green; Olivia Clark; Sameer Kanal; Steve Novick; Suzy Deuster; Tiffany Koyama Lane","Cherice Bock",
"350PDX","07/10/2025","","Personal Meeting","Environment: natural","Discussing a range of environment and climate topics including trees, building emissions, PCEF","Candace Avalos; Jamey Evenstar","Cherice Bock",
"350PDX","07/14/2025","09/30/2025","Committee Meeting; Communication Preparation; Email; Meeting Preparation; Personal Meeting; Text Message; Virtual Meeting","Environment: natural","Supporting a strong Urban Forest Plan","Angelita Morillo; Candace Avalos; Dan Ryan; Elana Pirtle-Guiney; Emily Hebbron; Meredith Wadlington; Sameer Kanal; Sofia Diffee; Steve Novick; Suzy Deuster; Will Mespelt; Zach Ward","Cherice Bock; Noelle Studer-Spevak",
"350PDX","07/29/2025","","Personal Meeting","Environment: natural","Climate chat with constituents","Olivia Clark","Cherice Bock",
"350PDX","09/01/2025","09/30/2025","Communication Preparation; Email; Meeting Preparation; Personal Meeting; Text Message","Environment: natural","CEI Hub Policy Project and related topics such as renewable fuels","Angelita Morillo; Candace Avalos; Dan Ryan; Sameer Kanal; Sofia Diffee; Steve Novick; Suzy Deuster; Will Mespelt; Zach Ward","Cherice Bock",
"ACLU of Oregon, Inc.","07/01/2025","09/30/2025","Communication Preparation; Email; Goodwill Building (non-lobbying); Meeting Preparation; Personal Meeting; Telephone; Text Message; Virtual Meeting","Other: democracy, civil liberties, civil rights","Federal government actions and City policies related to democracy, civil liberties, and civil rights, including impacts on vulnerable communities like immigrants and LGBTQ+","Aisling Coghlan; Andre Miller; Angelita Morillo; Bob Cozzie; Candace Avalos; Dan Ryan; Elana Pirtle-Guiney; Emily Hebbron; Eric Zimmerman; Jacq Tjaden; Jamie Dunphy; Jordan Wiley; Keith Wilson; Kezia Wanner; Lisa Freeman; Loretta Smith; Mitch Green; Natalie Sept; Olivia Clark; Sameer Kanal; Sofia Diffee; Steve Novick; Suzy Deuster; Tiffany Koyama Lane","Alyssa Keller; Eri Andriola; Ethan Krow; Jessica Maravilla; Kelly Simon; Michael Abrams; Sandy Chung",
"ACLU of Oregon, Inc.","07/01/2025","08/31/2025","Communication Preparation; Email; Meeting Preparation; Personal Meeting; Telephone; Text Message","Police Oversight","USDOJ-Portland Settlement Agreement About Policing","Lisa Freeman; Sameer Kanal","Eri Andriola; Kelly Simon; Sandy Chung",
"ACLU of Oregon, Inc.","09/09/2025","09/30/2025","Communication Preparation; Email; Meeting Preparation; Telephone; Text Message; Virtual Meeting","Other: Public Safety","Resolution related to federal troop deployment or militarized federal deployment to Portland","Candace Avalos; Elana Pirtle-Guiney; Natalie Sept; Tiffany Koyama Lane","Ethan Krow; Jessica Maravilla; Kelly Simon; Michael Abrams; Sandy Chung",
"ACLU of Oregon, Inc.","09/12/2025","09/30/2025","Communication Preparation; Email; Meeting Preparation; Personal Meeting; Telephone; Text Message; Virtual Meeting","Other: Privacy rights and data protection","City policies related privacy and data protection","Andre Miller; Angelita Morillo; Suzy Deuster","Ethan Krow; Jessica Maravilla; Kelly Simon; Michael Abrams; Sandy Chung",
"ACLU of Oregon, Inc.","09/12/2025","09/30/2025","Communication Preparation; Email; Meeting Preparation; Personal Meeting; Telephone; Text Message; Virtual Meeting","Other: Public Safety","City policies related to detention facility impact fees","Andre Miller; Angelita Morillo; Suzy Deuster","Ethan Krow; Jessica Maravilla; Kelly Simon; Michael Abrams; Sandy Chung",
"ACLU of Oregon, Inc.","09/12/2025","09/30/2025","Communication Preparation; Email; Meeting Preparation; Personal Meeting; Telephone; Text Message; Virtual Meeting","Police and Public Safety","City policies related to unauthorized detention by private persons","Andre Miller; Angelita Morillo; Suzy Deuster","Ethan Krow; Jessica Maravilla; Kelly Simon; Michael Abrams; Sandy Chung",
"ACLU of Oregon, Inc.","09/18/2025","09/30/2025","Communication Preparation; Email; Meeting Preparation; Personal Meeting; Telephone; Text Message; Virtual Meeting","Other: Public Safety & Immigrant & Refugee Rights","Policy codifying Sanctuary City resolution","Jacq Tjaden; Sameer Kanal","Ethan Krow; Jessica Maravilla; Kelly Simon; Michael Abrams; Sandy Chung",
"BikeLoud PDX","07/29/2025","09/26/2025","Direct Mail","Transportation: streets, sidewalks and street lighting","Asked mayor and council to make resolution proclaiming a ""Week Without Driving."" ","Angelita Morillo; Candace Avalos; Dan Ryan; Elana Pirtle-Guiney; Eric Zimmerman; Jamie Dunphy; Keith Wilson; Loretta Smith; Maria Sipin; Mitch Green; Olivia Clark; Sameer Kanal; Steve Novick; Tiffany Koyama Lane","David Binnig; Eva Frazier",
"BikeLoud PDX","08/06/2025","09/25/2025","Email; Indirect Lobbying; Social Media","Transportation: streets, sidewalks and street lighting","Advocated against removal of traffic diverters in NW Portland. Direct email to councilors, indirect lobbying through social media. ","Angelita Morillo; Eric Zimmerman; Keith Wilson; Loretta Smith; Mitch Green; Olivia Clark; Sameer Kanal; Tiffany Koyama Lane","Eva Frazier; Kiel Johnson; Mark Linehan",
"Breach Collective","07/10/2025","09/26/2025","Email; Telephone","Sustainable Development: energy","Zenith, CEI Hub, and renewable fuels policy updates","Angelita Morillo; Maria Sipin; Mitch Green; Suzy Deuster","Nicholas Caleb",
"Breach Collective","08/11/2025","","Telephone","Other: Procurement","Questions about city fleet fuel sources","Lisa Freeman","Nicholas Caleb",
"Breach Collective","08/11/2025","09/01/2025","Email; Telephone; Virtual Meeting","Police and Public Safety","Discussion about and code concepts for regulating chemical weapons ","Jacq Tjaden","Nicholas Caleb",
"Breach Collective","08/26/2025","","Telephone","Other: Government affairs","Questions about legislative short session","Maria Sipin","Nicholas Caleb",
"Breach Collective","08/26/2025","","Email","Sustainable Development: energy","Providing information to Climate, Resilience, and Land Use Committee about ongoing litigation about Zenith Land Use Compatibility Statement","Angelita Morillo; Candace Avalos; Lisa Freeman; Sameer Kanal; Steve Novick; Suzy Deuster","Nicholas Caleb",
"Columbia Corridor Association","08/11/2025","","Text Message","Transportation: streets, sidewalks and street lighting","Cully RR crossing","Millicent Williams","Corky Collier",
"Columbia Corridor Association","08/15/2025","","Text Message","Transportation: streets, sidewalks and street lighting","discuss potential alternative to Cully RR crossing","Millicent Williams","Corky Collier",
"Columbia Corridor Association","09/23/2025","","Email","Transportation: streets, sidewalks and street lighting","Discuss the Alderwood/Cully crossing project","Millicent Williams","Corky Collier",
"Friends of PSR","07/01/2025","09/30/2025","Email; Goodwill Building (non-lobbying); Indirect Lobbying; Meeting Preparation; Personal Meeting; Social Media; Virtual Meeting","Police and Public Safety","Portland Street Response","Andre Miller; Angelita Morillo; Candace Avalos; Jamey Evenstar; Lisa Freeman; Sameer Kanal","Jackie Yerby",
"Habitat for Humanity Portland Region","07/01/2025","09/10/2025","Email; Personal Meeting","Housing and Community Development","Supporting a City Land-banking Strategy and explaining potential alignment with the Community Land Trust model","Angelita Morillo; Candace Avalos; Dan Ryan; Donnie Oliveira; Elana Pirtle-Guiney; Eric Zimmerman; Helmi Hisserich","Sarah D Radcliffe",
"Habitat for Humanity Portland Region","07/18/2025","08/15/2025","Goodwill Building (non-lobbying)","Housing and Community Development","Site visits and build days","David Kuhnhausen; Elana Pirtle-Guiney; Jamie Dunphy","Sarah D Radcliffe",
"Habitat for Humanity Portland Region","07/29/2025","08/28/2025","Email; Personal Meeting","Housing and Community Development","Recalibrating Portland Inclusionary Zoning Program so that condos are not disincentivized ","Eric Zimmerman; Helmi Hisserich","Sarah D Radcliffe",
"Habitat for Humanity Portland Region","08/11/2025","09/12/2025","Email","Housing and Community Development","Supporting the Code Alignment Project and advocating for future focus on streamlining public works permitting","Candace Avalos; David Kuhnhausen; Donnie Oliveira; Elana Pirtle-Guiney; Eric Zimmerman; Jamie Dunphy","Sarah D Radcliffe",
"Habitat for Humanity Portland Region","09/25/2025","","Indirect Lobbying","Housing and Community Development","Inner Eastside for All - rally to support zoning for housing capacity","Angelita Morillo; Candace Avalos; Mitch Green","Sarah D Radcliffe",
"League of Women Voters of Portland","07/08/2025","09/16/2025","Committee Meeting","Police Oversight","Incorporate provisions from the settlement agreement with the U.S. DOJ regarding policing into city code. ","Lisa Freeman; Sameer Kanal","Debbie Aiona",
"League of Women Voters of Portland","09/02/2025","","Email","Other: city council procedures","Recommend that city council adopt rules prohibiting private conversations during public meetings.  ","Angelita Morillo; Candace Avalos; Dan Ryan; Elana Pirtle-Guiney; Eric Zimmerman; Jamie Dunphy; Loretta Smith; Mitch Green; Olivia Clark; Sameer Kanal; Steve Novick; Tiffany Koyama Lane","Wynne Furth",
