"Entity","Contact date","Contact type","Subject","Action of interest","City official(s)","Lobbyist(s)",
"Columbia Corridor Association","04/19/2016","Personal Meeting","Planning","Riverside and Broadmoor zoning designation","Novick, Steve","Corky Collier",
"Columbia Corridor Association","04/28/2016","Committee Meeting","Transportation: streets, sidewalks and street lighting","Gas tax","Novick, Steve","Corky Collier",
"Columbia Corridor Association","04/28/2016","Committee Meeting","Transportation: streets, sidewalks and street lighting","BAC meeting","Treat, Leah","Corky Collier",
"Columbia Corridor Association","05/19/2016","Email","Environment: sewer/storm water","Request to moderate breakfast forum","Novick, Steve","Corky Collier",
"Columbia Corridor Association","05/20/2016","Committee Meeting","Other","CCA Board meeting","Treat, Leah","Corky Collier",
"Columbia Corridor Association","05/25/2016","Committee Meeting","Parks and Recreation: community centers","CCA forum on earthquake preparedness","Merlo, Carmen; Stuhr, Michael","Corky Collier",
"Columbia Corridor Association","05/25/2016","Personal Meeting","Other","meeting to discuss Planning and Transportation initiatives","Warner, Chris","Corky Collier",
"Columbia Corridor Association","05/26/2016","Committee Meeting","Transportation: streets, sidewalks and street lighting","BAC meeting","Treat, Leah","Corky Collier",
"Columbia Corridor Association","06/16/2016","Committee Meeting","Transportation: streets, sidewalks and street lighting","BAC meeting","Treat, Leah","Corky Collier",
"Columbia Corridor Association","06/23/2016","Committee Meeting","Transportation: streets, sidewalks and street lighting","Freight roundtable","Treat, Leah","Corky Collier",
"Columbia Corridor Association","06/27/2016","Telephone","Environment: sewer/storm water","planning forum on superfund","Jordan, Michael","Corky Collier",
"Common Cause Oregon","04/01/2016","Personal Meeting","Other: Democracy; Good Government","Meeting to explore policy options for city-level elections reform.","Crail, Tim; Klonoski, Zach; Nieves, Cristina; Valderrama, Andrea","Kate Titus",
"Common Cause Oregon","04/04/2016","Email","Other: Democracy; Good Government","Email with input on the Commissioner's ethics reform proposal.","Blackwood, Jim","Kate Titus",
"Common Cause Oregon","04/08/2016","Personal Meeting","Other: Democracy; Good Government","Meeting to explore policy options for city-level elections reform.","Crail, Tim; Klonoski, Zach; Nieves, Cristina; Valderrama, Andrea","Daniel Lewkow; Kate Titus",
"Common Cause Oregon","04/08/2016","Personal Meeting","Other: Democracy; Good Government","Meeting to discuss the Commissioner's ethics reform proposal.","Blackwood, Jim","Kate Titus",
"Common Cause Oregon","04/15/2016","Personal Meeting","Other: Democracy; Good Government","Meeting to explore policy options for city-level elections reform.","Crail, Tim; Nieves, Cristina; Valderrama, Andrea","Daniel Lewkow; Kate Titus",
"Common Cause Oregon","04/15/2016","Telephone","Other: Democracy; Good Government","Phone call related to policy options for city-level elections reform.","Nieves, Cristina","Kate Titus",
"Common Cause Oregon","04/20/2016","Telephone","Other: Democracy; Good Government","Phone call related to policy options for city-level elections reform.","Nieves, Cristina","Daniel Lewkow",
"Common Cause Oregon","04/22/2016","Personal Meeting","Other: Democracy; Good Government","Meeting to explore policy options for city-level elections reform.","Crail, Tim; Klonoski, Zach; Nieves, Cristina; Valderrama, Andrea","Kate Titus",
"Common Cause Oregon","04/22/2016","Email","Other: Democracy; Good Government","Email related to policy options for city-level elections reform.","Crail, Tim; Klonoski, Zach; Nieves, Cristina; Valderrama, Andrea","Kate Titus",
"Common Cause Oregon","04/25/2016","Personal Meeting","Other: Democracy; Good Government","Meeting to explore policy options for city-level elections reform.","Crail, Tim; Nieves, Cristina","Daniel Lewkow; Kate Titus",
"Common Cause Oregon","04/29/2016","Personal Meeting","Other: Democracy; Good Government","Meeting to explore policy options for city-level elections reform.","Klonoski, Zach; Nieves, Cristina","Daniel Lewkow; Kate Titus",
"Common Cause Oregon","05/03/2016","Email","Other: Democracy; Good Government","Input on policy options for city-level elections reform.","Crail, Tim; Klonoski, Zach; Nieves, Cristina; Valderrama, Andrea","Kate Titus",
"Common Cause Oregon","05/04/2016","Telephone","Other: Democracy; Good Government","Phone call related to policy options for city-level elections reform.","Nieves, Cristina","Daniel Lewkow",
"Common Cause Oregon","05/06/2016","Personal Meeting","Other: Democracy; Good Government","Meeting to explore policy options for city-level elections reform.","Crail, Tim; Klonoski, Zach; Nieves, Cristina; Valderrama, Andrea","Daniel Lewkow; Kate Titus",
"Common Cause Oregon","05/12/2016","Personal Meeting","Other: Democracy; Good Government","Meeting to explore policy options for city-level elections reform.","Crail, Tim; Nieves, Cristina","Daniel Lewkow; Kate Titus",
