"Entity","Contact date","Contact type","Subject","Action of interest","City official(s)","Lobbyist(s)",
"Airbnb, Inc.","07/29/2019","Telephone","Financial Administration and Management","Short Term Rental Memorandum of Understanding","Lannom, Thomas","Laura Spanjian",
"Airbnb, Inc.","08/15/2019","Email","Financial Administration and Management","Short Term Rental Memorandum of Understanding","Lannom, Thomas","Laura Spanjian",
"Airbnb, Inc.","08/27/2019","Email","Financial Administration and Management","Short Term Rental Memorandum of Understanding","Lannom, Thomas","Laura Spanjian",
"Airbnb, Inc.","08/28/2019","Email","Financial Administration and Management","Short Term Rental Memorandum of Understanding","Lannom, Thomas","Laura Spanjian",
"Airbnb, Inc.","08/29/2019","Email","Financial Administration and Management","Short Term Rental Memorandum of Understanding","Lannom, Thomas","Laura Spanjian",
"Airbnb, Inc.","08/30/2019","Email","Financial Administration and Management","Short Term Rental Memorandum of Understanding","Lannom, Thomas","Laura Spanjian",
"Airbnb, Inc.","08/27/2019","Telephone","Financial Administration and Management","Short Term Rental Memorandum of Understanding","Lannom, Thomas","Laura Spanjian",
"Airbnb, Inc.","09/03/2019","Email","Financial Administration and Management","Short Term Rental Memorandum of Understanding","Lannom, Thomas","Laura Spanjian",
"Airbnb, Inc.","09/04/2019","Email","Financial Administration and Management","Short Term Rental Memorandum of Understanding","Lannom, Thomas","Laura Spanjian",
"Airbnb, Inc.","09/06/2019","Email","Financial Administration and Management","Short Term Rental Memorandum of Understanding","Lannom, Thomas","Laura Spanjian",
"Airbnb, Inc.","09/12/2019","Email","Financial Administration and Management","Short Term Rental Memorandum of Understanding","Lannom, Thomas","Laura Spanjian",
"American Beverage Association ","08/13/2019","Personal Meeting","Other: Parks Budget","Revenue for Parks","Schmanski, Sonia","Dan Bates",
"Asian Pacific American Network of Oregon","08/19/2019","Meeting Preparation","Other: Portland Clean Energy Fund","Prepare to meet to provide updates to City Officials on Portland Clean Energy Fund policy discussions","Edwards, Karly; Eudaly, Chloe; Runkel, Marshall","Jenny Lee",
"Asian Pacific American Network of Oregon","08/19/2019","Personal Meeting","Other: Portland Clean Energy Fund","Update on grant committee appointment & ask for support of coalition on possible changes to Clean Energy Surcharge","Eudaly, Chloe; Runkel, Marshall","Jenny Lee",
"Asian Pacific American Network of Oregon","07/17/2019","Meeting Preparation","Other: Anti-displacement","Preparation with other Anti-Displacement PDX coalition partners for Policy Link meeting with Eudaly, Wheeler, and several bureau directors.","Branam, Kimberly; Callahan, Shannon; Eudaly, Chloe; Warner Chris; Wheeler, Ted","Todd Struble",
"Asian Pacific American Network of Oregon","07/19/2019","Personal Meeting","Other: Anti-Displacement","Meeting with multiple Bureau Directors, Commissioner Eudaly, Mayor Wheeler, and members of the Anti-Displacement PDX coalition. ","Branam, Kimberly; Callahan, Shannon; Eudaly, Chloe; Warner Chris; Wheeler, Ted","Todd Struble",
