"Entity","Contact date","Contact type","Subject","Action of interest","City official(s)","Lobbyist(s)",
"1000 Friends of Oregon","01/11/2018","Personal Meeting","Planning","Residential infill program","Howard, Nathan; Wheeler, Ted","Madeline Kovacs; Mary Kyle McCurdy",
"1000 Friends of Oregon","01/31/2018","Personal Meeting","Planning","Residential infill program","Alexander, Cupid","Madeline Kovacs; Mary Kyle McCurdy",
"1000 Friends of Oregon","03/08/2018","Personal Meeting","Planning","Residential infill project","Bachrach, Jeff; Baugh, Andre; Oswill, Andres; Smith, Chris","Madeline Kovacs",
"1000 Friends of Oregon","03/09/2018","Personal Meeting","Planning","Residential infill project","Houck, Mike; Spevak, Eli","Madeline Kovacs",
"Airbnb, Inc.","01/08/2018","Personal Meeting","Other: Revenue","Short term rental policy & taxes on short term rental stays","Lannom, Thomas","Dan Jarman; Laura Spanjian",
"Airbnb, Inc.","01/09/2018","Email","Other: Revenue","Short term rental policy & taxes on short term rental stays","Lannom, Thomas","Dan Jarman",
"Airbnb, Inc.","01/16/2018","Personal Meeting","Other: Revenue","Short term rental policy & taxes on short term rental stays","Chisek, Kyle ","Dan Jarman",
"Airbnb, Inc.","01/30/2018","Personal Meeting","Other: Revenue","Short term rental policy & taxes on short term rental stays","Grumm, Matthew; Schmanski, Sonia","Dan Jarman",
"Airbnb, Inc.","01/31/2018","Email","Other: Revenue","Short term rental policy","Lannom, Thomas","Dan Jarman",
"Airbnb, Inc.","02/05/2018","Email","Other: Revenue","Short term rental policy & taxes on short term rental stays","Lannom, Thomas","Dan Jarman",
"Airbnb, Inc.","02/14/2018","Telephone","Other: Revenue","Short term rental policy","Chisek, Kyle ","Dan Jarman",
"Airbnb, Inc.","02/15/2018","Personal Meeting","Other: Revenue","Short term rental policy","Edwards, Elizabeth","Dan Jarman",
"Airbnb, Inc.","03/20/2018","Email","Other: Housing","Accessory Dwelling Unit policy","Duhamel, Jamey; Runkel, Marshall","Dan Jarman",
"Airbnb, Inc.","03/20/2018","Email","Other: Revenue","Short term rental policy","Chisek, Kyle ","Dan Jarman",
"Airbnb, Inc.","03/20/2018","Telephone","Other: Revenue","Short term rental policy","Chisek, Kyle ","Dan Jarman",
"Airbnb, Inc.","03/21/2018","Email","Other: Housing","Accessory Dwelling Unit policy","Runkel, Marshall","Dan Jarman",
