"Entity","Contact date","Contact type","Subject","Action of interest","City official(s)","Lobbyist(s)",
"1000 Friends of Oregon","04/27/2017","Personal Meeting","Housing and Community Development","meeting","Birge, Pollyanne; Duhamel, Jamey","Andrew Riley; Madeline Kovacs",
"Airbnb, Inc.","06/05/2017","Email","Business and Economic Development","Short-term rental Reform","Wheeler, Ted","Dan Jarman; Laura Spanjian",
"Airbnb, Inc.","04/24/2017","Email","Other: General","Airbnb anti-discrimination policy","Eudaly, Chloe; Runkel, Marshall","Dan Jarman",
"Airbnb, Inc.","05/01/2017","Telephone","Planning","Short-term rental policy and enforcement","Chisek, Kyle ; Wheeler, Ted","Dan Jarman",
"Airbnb, Inc.","05/04/2017","Personal Meeting","Planning","Short-term rental policy","Grumm, Matthew; Saltzman, Dan","Dan Jarman",
"Airbnb, Inc.","05/09/2017","Telephone","Planning","Short-term rental policy","Chisek, Kyle ","Dan Jarman",
"Airbnb, Inc.","05/17/2017","Email","Other: General","Airbnb anti-discrimination policy","Grumm, Matthew","Dan Jarman",
"Airbnb, Inc.","05/23/2017","Email","Other: Revenue","Tax collection resolution","Chisek, Kyle ","Dan Jarman",
"Airbnb, Inc.","05/26/2017","Email","Other: Revenue; tourism","City resolution regarding Tourism improvement District and affordable housing fund","Chisek, Kyle ; Henderson, Maurice; Lannom, Thomas","Dan Jarman",
"Airbnb, Inc.","05/26/2017","Telephone","Other: Revenue; tourism","City resolution regarding Tourism improvement District and affordable housing fund","Chisek, Kyle ","Dan Jarman",
"Airbnb, Inc.","05/30/2017","Text Message","Other: Revenue; tourism","City resolution regarding Tourism improvement District and affordable housing fund","Chisek, Kyle ","Dan Jarman",
"Airbnb, Inc.","05/31/2017","Telephone","Other: Revenue; tourism","City resolution regarding Tourism improvement District and affordable housing fund","Chisek, Kyle ","Dan Jarman",
"Airbnb, Inc.","05/31/2017","Email","Other: Revenue; tourism","City resolution regarding Tourism improvement District and affordable housing fund","Grumm, Matthew","Dan Jarman",
"Airbnb, Inc.","06/02/2017","Email","Other: Revenue; tourism","City resolution regarding Tourism improvement District and affordable housing fund","Chisek, Kyle ","Dan Jarman",
"Airbnb, Inc.","06/04/2017","Email","Other: Revenue; tourism","City resolution regarding Tourism improvement District and affordable housing fund","Chisek, Kyle ","Dan Jarman",
"Airbnb, Inc.","06/06/2017","Telephone","Other: Revenue; tourism","City resolution regarding Tourism improvement District and affordable housing fund","Grumm, Matthew","Dan Jarman",
"Airbnb, Inc.","06/14/2017","Email","Planning","Airbnb letter on Short-tern rental policy","Chisek, Kyle ; Henderson, Maurice; Wheeler, Ted","Dan Jarman",
"Airbnb, Inc.","06/16/2017","Personal Meeting","Other: Planning; Revenue","Short-term rental policy","Chisek, Kyle ","Dan Jarman",
"Airbnb, Inc.","06/23/2017","Email","Other: Revenue","Short-term rental enforcement","Chisek, Kyle ","Dan Jarman",
"Columbia Corridor Association","06/07/2017","Personal Meeting","Transportation: Local Improvement District (LID)","Additional funding for Suttle Rd. LID","Henderson, Maurice","Corky Collier",
"Columbia Corridor Association","06/30/2017","Personal Meeting","Transportation: Local Improvement District (LID)","Additional funding for Suttle Rd LID","Fish, Nick","Corky Collier",
"Enhabit","05/10/2017","Email","Housing and Community Development","Rental rehabilitation. ","Valderrama, Andrea","Tim Miller",
"Enhabit","05/19/2017","Personal Meeting","Housing and Community Development","Rental rehabilitation. ","Chisek, Kyle ; Valderrama, Andrea","Nels Johnson; Tim Miller",
"Enhabit","04/20/2017","Email","Housing and Community Development","Rental rehabilitation. ","Dunphy, Jamie","Nels Johnson",
"Enhabit","04/06/2017","Email","Housing and Community Development","Rental rehabilitation. ","Dunphy, Jamie","Nels Johnson",
"Enhabit","04/21/2017","Personal Meeting","Housing and Community Development","Rental rehabilitation. ","Dunphy, Jamie","Nels Johnson; Tim Miller",
"League of Women Voters of Portland","04/01/2017","Email","Housing and Community Development","Extension of amendment to OHSU Block 33 development agreement in N. Macadam Urban Renewal Area, repayment of outstanding $2 million or commitment to develop affordable housing on the site. ","Chisek, Kyle ","Debbie Aiona",
"League of Women Voters of Portland","04/02/2017","Email","Housing and Community Development","OHSU Block 33 affordable housing development or repayment of housing dollars (see above)","Chisek, Kyle ","Debbie Aiona",
"League of Women Voters of Portland","04/06/2017","Email","Police Oversight","Concerns regarding proposed changes to Independent Police Review, in particular, elimination of public comment at appeal hearings.  More consultation with  community needed.  ","Buono, Barbara; Callahan, Shannon; Eudaly, Chloe; Fish, Nick; Fritz, Amanda; Hull Caballero, Mary; Nieves, Cristina; Runkel, Marshall; Saltzman, Dan; Schmanski, Sonia; Wheeler, Ted","Carol Cushman; Debbie Aiona; Frances Dyke",
"League of Women Voters of Portland","04/17/2017","Email","Housing and Community Development","Request for update on OHSU Block 33 agreement. ","Chisek, Kyle ","Debbie Aiona",
"League of Women Voters of Portland","04/19/2017","Email","Police Oversight","Involve community when exploring additional code changes to Independent Police Review/oversight system.","Grant, Nicole","Debbie Aiona",
"League of Women Voters of Portland","04/26/2017","Email","Other: volunteer boards and commissions policy","Improve training, tracking, transparency for city's volunteer boards and commissions ","Schmanski, Sonia","Debbie Aiona",
"League of Women Voters of Portland","05/04/2017","Telephone","Other: boards and commissions policy + Open and Accountable Elections budget","Need for money in 2017-18 FY to begin implementation of new campaign finance system.
Public Involvement Advisory Council involvement in boards and commissions policy development.","Fish, Nick","Debbie Aiona",
"League of Women Voters of Portland","05/10/2017","Email","Other: volunteer boards and commissions policy","Improve policies and practices for city's boards and commissions.  Involve Public Involvement Advisory Council in policy development.  ","Adamsick, Claire; Duhamel, Jamey; Eudaly, Chloe; Fish, Nick; Fritz, Amanda; Saltzman, Dan; Wheeler, Ted","Debbie Aiona; Doreen Binder ; Frances Dyke",
"League of Women Voters of Portland","05/11/2017","Email","Other: campaign finance","Budget to cover implementation of Open and Accountable Elections","Fish, Nick","Debbie Aiona",
"League of Women Voters of Portland","05/11/2017","Email","Other: campaign finance","Budget to cover implementation of Open and Accountable Elections","Eudaly, Chloe; Fish, Nick; Fritz, Amanda; Saltzman, Dan; Wheeler, Ted","Frances Dyke",
"League of Women Voters of Portland","05/16/2017","Email","Other: volunteer boards and commissions policy","Avoid mandatory term limits for volunteer boards and commissions","Fritz, Amanda","Debbie Aiona",
"Lyft, Inc.","04/17/2017","Email","Transportation: streets, sidewalks and street lighting","TNCs","Chisek, Kyle ","Amy Ruiz",
"Lyft, Inc.","04/27/2017","Telephone","Transportation: streets, sidewalks and street lighting","TNCs","Finn, Brendan","Amy Ruiz",
"Lyft, Inc.","04/27/2017","Email","Transportation: streets, sidewalks and street lighting","TNCs","Finn, Brendan","Amy Ruiz",
"Lyft, Inc.","05/03/2017","Telephone","Transportation: streets, sidewalks and street lighting","TNCs","Chisek, Kyle ","Amy Ruiz",
"Lyft, Inc.","05/03/2017","Email","Transportation: streets, sidewalks and street lighting","TNCs","Chisek, Kyle ","Amy Ruiz",
"Lyft, Inc.","05/11/2017","Personal Meeting","Transportation: streets, sidewalks and street lighting","TNCs","Runkel, Marshall","Amy Ruiz; Laura Bisesto",
"Lyft, Inc.","05/24/2017","Telephone","Transportation: streets, sidewalks and street lighting","TNCs","Chisek, Kyle ","Amy Ruiz",
"Lyft, Inc.","06/02/2017","Telephone","Transportation: streets, sidewalks and street lighting","TNCs","Chisek, Kyle ","Amy Ruiz",
"Lyft, Inc.","06/02/2017","Email","Transportation: streets, sidewalks and street lighting","TNCs","Dunphy, Jamie","Amy Ruiz",
"Lyft, Inc.","06/05/2017","Email","Transportation: streets, sidewalks and street lighting","TNCs","Dunphy, Jamie","Amy Ruiz",
