"Entity","Contact date","Contact type","Subject","Action of interest","City official(s)","Lobbyist(s)",
"AT&T","11/10/2023","Email","Other: Telecomm","Email to Commissioner Rubio notifying office of neighborhood meeting about wireless facility. ","Rubio, Carmen","Rachael Emory",
"AT&T","11/10/2023","Email","Other: Telecomm","Email to Megan Beyer, Rubio's office notifying of neighborhood meeting about wireless facility.","Megan (Elizabeth) Beyer ","Rachael Emory",
"AT&T","12/14/2023","Email","Other: Telecomm","Email to Megan Beyer following up on neighborhood meeting about wireless facility. ","Megan (Elizabeth) Beyer ","Rachael Emory",
"Central Eastside Industrial Council","10/27/2023","Email","Other: Business & Economic Development","Campers by Escuela Vivia","Thompson, Dakotah","Brianna Woods",
"Central Eastside Industrial Council","12/18/2023","Email","Other: Business & Economic Development","Inviting to be a panelist for the Town Hall in January 2024","Thompson, Dakotah","Brianna Woods",
"Columbia Corridor Association","11/17/2023","Virtual Meeting","Business and Economic Development","CCA Board meeting","Williams, Millicent","Corky Collier",
"Columbia Corridor Association","11/27/2023","Email","Planning","arranging meeting to discuss donation of land","Oliveira, Donald","Corky Collier",
"Columbia Corridor Association","11/30/2023","Virtual Meeting","Neighborhood Livability: general","Discuss donation of two parcels near Columbia Steel, to be used as greenspace buffers.","Oliveira, Donald","Corky Collier",
"Columbia Corridor Association","12/04/2023","Email","Environment: natural","donating buffer land to the city","Oliveira, Donald","Corky Collier",
"Columbia Corridor Association","12/11/2023","Email","Business and Economic Development","North Portland TASS","Fitzpatrick, Andrew","Corky Collier",
"Columbia Corridor Association","12/18/2023","Email","Business and Economic Development","Columbia Steel road easement over BES property.","Fitzpatrick, Andrew; Rodriguez, Michelle","Corky Collier",
"Craft3","10/03/2023","Personal Meeting","Business and Economic Development","Discuss partnership opportunities.","Oliveira, Donald","Johnell Bell; Tom Rinehart",
"Craft3","10/05/2023","Personal Meeting","Business and Economic Development","Discuss partnership opportunities.","Oliveira, Donald","Adam Zimmerman; Bruce Brooks; Desiree Sideroff; Johnell Bell; Tom Rinehart",
"Craft3","10/31/2023","Meeting Preparation","Business and Economic Development","Preparation for discussion of partnership opportunities.","Oliveira, Donald","Desiree Sideroff; Maggie Kirby Weiland; Seth Greenfest",
"Craft3","11/27/2023","Personal Meeting","Business and Economic Development","Discuss partnership opportunities.","Oliveira, Donald","Bruce Brooks; Desiree Sideroff",
"Lumen Technologies","12/06/2023","Meeting Preparation","Cable and Franchise","Portland Right of Way Code ","Rubio, Carmen","Jared Wiener",
"Lumen Technologies","12/12/2023","Meeting Preparation","Cable and Franchise","Portland Right of Way Code","Rubio, Carmen","Jared Wiener",
"Lyft, Inc.","10/24/2023","Personal Meeting","Other: PBOT/Lyft","Discussion","Williams, Millicent","Amy Ruiz",
"Lyft, Inc.","11/23/2023","Virtual Meeting","Other: PBOT/Lyft","Discussion","Mapps, Mingus","Amy Ruiz",
"Oregon Museum of Science and Industry ","12/15/2023","Email","Other: OMSI Redevelopment Plan","Updated on status of OMSI plan","Souede, Jill","Rachael Wiggins Emory",
"Oregon Museum of Science and Industry ","12/15/2023","Email","Other: OMSI Redevelopment Plan ","Update on project","Galvez Mora, Grace","Rachael Wiggins Emory",
"Oregon Museum of Science and Industry ","12/15/2023","Email","Other: OMSI Redevelopment Plan ","Update on project","Wendelbo, Amanda","Rachael Wiggins Emory",
"Oregon Museum of Science and Industry ","12/15/2023","Email","Other: OMSI Redevelopment Plan ","Update on project","Kwon, MeeSeon","Rachael Wiggins Emory",
"Oregon Museum of Science and Industry ","12/15/2023","Email","Other: OMSI Redevelopment Plan ","Update on project","Monsignac, Nalie (Aravnalie)","Rachael Wiggins Emory",
"Oregon Museum of Science and Industry ","10/23/2023","Committee Meeting","Urban Renewal","Potential TIF district exploration committee","Williams, Millicent","Erin Graham",
