"Entity","Contact date","Contact type","Subject","Action of interest","City official(s)","Lobbyist(s)",
"Airbnb, Inc.","04/22/2019","Personal Meeting","Housing and Community Development","Short Term Rental law implementation","Lannom, Thomas","Laura Spanjian",
"Airbnb, Inc.","06/04/2019","Personal Meeting","Housing and Community Development","Short Term Rental law implementation","Lannom, Thomas","Laura Spanjian",
"Airbnb, Inc.","05/17/2019","Email","Other: REVENUE","Regulation of Short Term Rental industry","Arguinzoni, Jennifer ; Chisek, Kyle ; Dennis, Kristin","Dan Jarman; Justin Freeman",
"Airbnb, Inc.","05/19/2019","Email","Other: REVENUE","Regulation of Short Term Rental industry","Arguinzoni, Jennifer ; Chisek, Kyle ; Dennis, Kristin; Watson, Amanda","Dan Jarman; Justin Freeman",
"Airbnb, Inc.","05/24/2019","Telephone","Other: REVENUE","Regulation of Short Term Rental industry","Dennis, Kristin","Dan Jarman; Justin Freeman",
"American Beverage Association ","05/03/2019","Telephone","Other: Taxation","Taxation Policy","Chisek, Kyle ","Dan Bates",
"AT&T","04/16/2019","Telephone","Other: Telecommunications Infrastructure","AT&T Franchise Agreement","Perez, Elisabeth","Dan Bates",
"AT&T","04/24/2019","Telephone","Other: Telecommunications Infrastructure","AT&T Franchise Agreement","Perez, Elisabeth","Dan Bates",
"AT&T","04/29/2019","Telephone","Other: Telecommunications Infrastructure","AT&T Franchise Agreement","Perez, Elisabeth","Dan Bates",
"AT&T","05/15/2019","Telephone","Other: Telecommunications Infrastructure","AT&T Franchise Agreement","Perez, Elisabeth","Dan Bates",
"AT&T","05/29/2019","Telephone","Other: Telecommunications Infrastructure","AT&T Franchise Agreement","Perez, Elisabeth","Dan Bates",
"AT&T","06/03/2019","Telephone","Other: Telecommunications Infrastructure","AT&T Franchise Agreement","Perez, Elisabeth","Dan Bates",
"AT&T","06/10/2019","Personal Meeting","Other: Digital Equity","Discussion of Digital Equity related to the AT&T Franchise Agreement","Perez, Elisabeth","Dan Bates; George Granger; Kristin MacRostie",
"Bird Rides, Inc.","04/24/2019","Email","Business and Economic Development","E-scooter pilot 
","Runkel, Marshall","Johnell Bell",
"Bird Rides, Inc.","04/24/2019","Telephone","Business and Economic Development","call to discuss E-scooter pilot. Got Vm.
","Runkel, Marshall","Johnell Bell",
"Bird Rides, Inc.","04/25/2019","Email","Business and Economic Development","E-scooter pilot","Runkel, Marshall","Johnell Bell",
"Bird Rides, Inc.","06/25/2019","Email","Business and Economic Development","E-scooter pilot
","Runkel, Marshall","Johnell Bell",
"Bird Rides, Inc.","04/25/2019","Telephone","Business and Economic Development","E-scooter pilot 
","Runkel, Marshall","Johnell Bell",
"Bird Rides, Inc.","04/26/2019","Text Message","Business and Economic Development","Scheduling time to talk to discuss E-scooter pilot
","Runkel, Marshall","Johnell Bell",
"Bird Rides, Inc.","04/26/2019","Telephone","Business and Economic Development","Call to discuss E-Scooter pilot 
","Warner Chris","Johnell Bell",
"Bird Rides, Inc.","04/26/2019","Email","Business and Economic Development","Requesting time to meet to discuss E-scooter pilot decision.
","Runkel, Marshall","Johnell Bell",
"Bird Rides, Inc.","04/26/2019","Email","Business and Economic Development","E-Scooter Pilot
","Chisek, Kyle ; Runkel, Marshall; Warner Chris","Johnell Bell",
"Bird Rides, Inc.","04/29/2019","Email","Business and Economic Development"," E-scooter pilot 
","Chisek, Kyle ; Runkel, Marshall","Johnell Bell",
"Bird Rides, Inc.","04/29/2019","Email","Business and Economic Development","confirming meeting with  Chris and Marshall
","Chisek, Kyle ; Runkel, Marshall; Warner Chris","Johnell Bell",
"Bird Rides, Inc.","05/03/2019","Email","Business and Economic Development","Confirming ""stop by"" meeting 
","Chisek, Kyle ","Johnell Bell",
