"Entity","Contact date","Contact type","Subject","Action of interest","City official(s)","Lobbyist(s)",
"350PDX","08/30/2023","Committee Meeting","Other: Floodplain Resilience Plan","Sharing public comment","Gonzalez, Rene; Mapps, Mingus; Rubio, Carmen; Ryan, Dan; Wheeler, Ted","Cherice Bock",
"350PDX","09/20/2023","Meeting Preparation","Other: PCEF Climate Investment Plan","Sharing public comment","Gonzalez, Rene; Mapps, Mingus; Rubio, Carmen; Ryan, Dan; Wheeler, Ted","Cherice Bock",
"350PDX","08/29/2023","Meeting Preparation","Other: Floodplain Resilience Plan","Preparing public comment","Gonzalez, Rene; Mapps, Mingus; Rubio, Carmen; Ryan, Dan; Wheeler, Ted","Cherice Bock",
"350PDX","09/15/2023","Meeting Preparation","Other: PCEF Climate Investment Plan","Gathering signatures for a petition, preparing petition and public comment","Gonzalez, Rene; Mapps, Mingus; Rubio, Carmen; Ryan, Dan; Wheeler, Ted","Cherice Bock",
"350PDX","09/07/2023","Virtual Meeting","Sustainable Development: energy","Meeting with Director of BPS about renewable fuels in the Critical Energy Infrastructure Hub, sharing public comment and asking questions.","Oliveira, Donald","Dineen O'Rourke",
"ACLU of Oregon","07/18/2023","Virtual Meeting","Other: Joint Terrorism Task Force","Provided education about why it is important for civil liberties & rights for City of Portland to not participate in Joint Terrorism Task Force.
Jude met with Shah Smith & Grace Zarpak for 30 min.","Smith, Shah","Jude Stone",
"ACLU of Oregon","07/19/2023","Email","Other: Joint Terrorism Task Force","Follow up email to Shah Smith and Grace Zarpak about civil liberties and rights impacts and importance of City not participating on Joint Terrorism Task Force.","Smith, Shah","Jude Stone",
"ACLU of Oregon","08/02/2023","Personal Meeting","Other: Portland Street Response","Stopped by mayor/commissioners' offices to drop off petition from Friends of Portland Street Response (PSR) - asking Mayor and Council Members to support PSR's important public safety function.","Smith, Shah","Jackie Yerby",
"ACLU of Oregon","09/26/2023","Personal Meeting","Other: Portland Street Response","Met with Commissioner Rubio with Friends of Portland Street Response to talk about importance of Portland Street Response to public safety in Portland.","Rubio, Carmen","Jackie Yerby",
"ACLU of Oregon","08/02/2023","Personal Meeting","Other: Portland Street Response","Dropped off petition from Friends of Portland Street Response (PSR) - to support PSR's important public safety function. ","Bowman, Cody","Jackie Yerby",
"ACLU of Oregon","08/02/2023","Personal Meeting","Other: Portland Street Response","Dropped off petition from Friends of Portland Street Response (PSR) - to support PSR's important public safety function. ","Lyons, Adam","Jackie Yerby",
"ACLU of Oregon","08/02/2023","Personal Meeting","Other: Portland Street Response (PSR)","Dropped off petition from Friends of PSR - to support PSR's important public safety function. Met with Alexa Croft, who's not listed, so listed Comm. Ryan in City Officials section.","Ryan, Dan","Jackie Yerby",
"ACLU of Oregon","08/02/2023","Personal Meeting","Other: Portland Street Response","Dropped off petition from Friends of Portland Street Response (PSR) - to support PSR's important public safety function. Christina received on behalf of Comm Rubio as her staff member.","Ghan, Christina","Jackie Yerby",
"ACLU of Oregon","07/20/2023","Social Media","Other: Portland Charter Reform","Social media post about importance of respecting will of voters and moving forward wtih Measure 26-228.","Gonzalez, Rene; Ryan, Dan","Sandy Chung",
"ACLU of Oregon","07/19/2023","Social Media","Other: Charter change","Social media post about importance of respecting will of voters and moving forward wtih Measure 26-228.","Gonzalez, Rene; Mapps, Mingus; Rubio, Carmen; Ryan, Dan; Wheeler, Ted","Sandy Chung",
"ACLU of Oregon","07/18/2023","Social Media","Other: Portland Street Response","Asking City Hall to end hiring freeze and adequately fund Portland Street Response.","Gonzalez, Rene; Mapps, Mingus; Rubio, Carmen; Ryan, Dan; Wheeler, Ted","Sandy Chung",
"ACLU of Oregon","08/18/2023","Social Media","Other: Charter change","Social media post about importance of respecting will of voters and moving forward wtih Measure 26-228.","Gonzalez, Rene; Mapps, Mingus; Rubio, Carmen; Ryan, Dan; Wheeler, Ted","Sandy Chung",
"ACLU of Oregon","07/13/2023","Social Media","Other: Charter change","Social media post about importance of respecting will of voters and moving forward wtih Measure 26-228.","Gonzalez, Rene; Mapps, Mingus; Rubio, Carmen; Ryan, Dan; Wheeler, Ted","Sandy Chung",
"ACLU of Oregon","09/08/2023","Social Media","Other: Harms of criminalization drug addiction","Educated public about ACLUOR's testimony at City Council meeting about harms of criminalizing drug addiction.","Gonzalez, Rene; Mapps, Mingus; Rubio, Carmen; Ryan, Dan; Wheeler, Ted","Jude Stone",
"ACLU of Oregon","08/14/2023","Social Media","Other: Charter change","Social media post about importance of respecting will of voters and moving forward wtih Measure 26-228.","Gonzalez, Rene; Mapps, Mingus; Rubio, Carmen; Ryan, Dan; Wheeler, Ted","Sandy Chung",
"Audubon Society of Portland","08/24/2023","Personal Meeting","Environment: natural","Floodplain Resilience Plan, PCEF, Housing Regulatory Relief","Ghan, Christina; Megan (Elizabeth) Beyer ; Schoene, Jillian","Micah Meskel; Quinn Read",
"Audubon Society of Portland","08/25/2023","Virtual Meeting","Environment: natural","Discuss Floodplain Resilience Plan - BDS/BPS","Souede, Jill","Micah Meskel",
"Audubon Society of Portland","08/02/2023","Virtual Meeting","Environment: natural","Discuss Floodplain Resilience Plan - BDS/BPS","Megan Lehman","Micah Meskel; Quinn Read",
"Audubon Society of Portland","08/23/2023","Virtual Meeting","Environment: natural","Floodplain Resilience Plan and PCEF","Rodriguez, Michelle","Micah Meskel; Quinn Read",
"Audubon Society of Portland","08/30/2023","Committee Meeting","Environment: natural","Floodplain Resilience Plan Hearing","Gonzalez, Rene; Mapps, Mingus; Rubio, Carmen; Ryan, Dan; Wheeler, Ted","Micah Meskel",
"Audubon Society of Portland","09/20/2023","Committee Meeting","Environment: natural","Portland City Council Hearing regarding the Portland Clean Energy Fund Climate Investment Plan.","Gonzalez, Rene; Mapps, Mingus; Rubio, Carmen; Ryan, Dan; Wheeler, Ted","Micah Meskel",
"Central Eastside Industrial Council","08/03/2023","Telephone","Other: Business & Economic Development","Business Rights","Rubio, Carmen","Carolyne Holcomb",
"Central Eastside Industrial Council","08/04/2023","Personal Meeting","Other: Business & Economic Development","Lunch and Learn ","Rubio, Carmen","Carolyne Holcomb",
"Central Eastside Industrial Council","08/11/2023","Text Message","Other: Business & Economic Development","Removing camps around Salt&Straw","Thompson, Dakotah","Carolyne Holcomb",
"Columbia Corridor Association","07/24/2023","Email","Business and Economic Development","BES easement for Columbia Steel property","Fitzpatrick, Andrew","Corky Collier",
"Columbia Corridor Association","08/07/2023","Email","Business and Economic Development","potential meeting with Swan Island Business Association","Fitzpatrick, Andrew","Corky Collier",
"Columbia Corridor Association","08/08/2023","Virtual Meeting","Business and Economic Development","discussion about rezoning NW industrial area for streetcar","Carney, Shannon","Corky Collier",
"Columbia Corridor Association","08/08/2023","Email","Business and Economic Development","arranging a meeting with CCA board","Fitzpatrick, Andrew","Corky Collier",
"Columbia Corridor Association","08/10/2023","Email","Business and Economic Development","requesting a meeting for Sept 15","Fitzpatrick, Andrew","Corky Collier",
"Columbia Corridor Association","08/30/2023","Email","Business and Economic Development","easement on BES property","Fitzpatrick, Andrew; Meyer, Katie; Rodriguez, Michelle","Corky Collier",
"Columbia Corridor Association","08/28/2023","Personal Meeting","Transportation: streets, sidewalks and street lighting","Director's new agenda items for PBOT","Williams, Millicent","Corky Collier",
"Columbia Corridor Association","09/08/2023","Email","Business and Economic Development","request to meet with CCA Board next Friday","Fitzpatrick, Andrew","Corky Collier",
"Columbia Corridor Association","09/22/2023","Email","Business and Economic Development","notice of Board appointment","Williams, Millicent","Corky Collier",
"Columbia Corridor Association","09/21/2023","Email","Business and Economic Development","Columbia Steel easement ","Fitzpatrick, Andrew","Corky Collier",
"Craft3","07/11/2023","Virtual Meeting","Environment: natural","Portland Clean Energy Fund Climate Investment Plan","Schoene, Jillian","Bruce Brooks; Johnell Bell; Tom Rinehart",
"Craft3","07/12/2023","Virtual Meeting","Environment: natural","Portland Clean Energy Fund Climate Investment Plan","Oliveira, Donald","Bruce Brooks; Johnell Bell; Tom Rinehart",
"Craft3","07/13/2023","Email","Environment: natural","Portland Clean Energy Fund Climate Investment Plan","Oliveira, Donald; Schoene, Jillian","Bruce Brooks",
"Crown Castle and its Affiliates","09/01/2023","Personal Meeting","Other: Portland ROW Code","Amendments to the Portland ROW Code ","Oliveira, Donald","Gary Oxley; Kathy Putt",
"Crown Castle and its Affiliates","09/28/2023","Virtual Meeting","Other: Portland ROW Code","Amendments to the Portland ROW Code ","Gonzalez, Rene","Gary Oxley; Kathy Putt",
"CTIA - The Wireless Association","08/29/2023","Email","Other: Telecommunications Siting","Discussion of amendment to proposed siting ordinance for telecommunications technology","Gonzalez, Rene; Mapps, Mingus; Rubio, Carmen; Ryan, Dan; Wheeler, Ted","Annissa Reed; Jeremy Crandall",
"Home Building Association of Greater Portland","07/18/2023","Email","Other: SDC Deferral Program","update on SDC Deferral implementation","Esau, Rebecca","Preston Korst",
"Home Building Association of Greater Portland","07/18/2023","Email","Other: Portland Builders Meeting","inviting city staff/council to attend HBA happy hour event w/ Portland Builders","Chase, Sam; Esau, Rebecca; Ghan, Christina; Oliveira, Donald; Rogers, Molly; Rubio, Carmen; Schoene, Jillian","Preston Korst",
"Home Building Association of Greater Portland","07/28/2023","Telephone","Other: Permitting Consolidation","discuss policy development opportunities for city's permit consolidation ","Schoene, Jillian","Preston Korst",
"Home Building Association of Greater Portland","08/03/2023","Telephone","Other: Permitting Consolidation","discuss policy development opportunities for city's permit consolidation ","Schoene, Jillian","Preston Korst",
"Home Building Association of Greater Portland","08/02/2023","Email","Other: Permitting Consolidation","Submission of Permit Consolidation Testimony on behalf of housing-orgs. ","Ghan, Christina; Gonzalez, Rene; Lee, Bobby; Mapps, Mingus; Meyer, Katie; Rubio, Carmen; Ryan, Dan; Smith, Shah; Torres, Kellie; Wheeler, Ted","Preston Korst",
"Home Building Association of Greater Portland","08/08/2023","Email","Other: permit consolidation","permit consolidation resolution discussion","Schoene, Jillian","Preston Korst",
"Home Building Association of Greater Portland","08/09/2023","Email","Other: Permitting Consolidation","permit consolidation resolution discussion","Schoene, Jillian","Preston Korst",
"Home Building Association of Greater Portland","08/16/2023","Personal Meeting","Other: Middle Housing Discussion/Permitting Consolidation ","Middle Housing Developers meeting with Commissioner Rubio to discuss ways to boost middle housing (RIP) products in Portland, near transit .","Rubio, Carmen; Schoene, Jillian","Preston Korst",
"Home Building Association of Greater Portland","08/16/2023","Email","Housing and Community Development","follow up email from middle housing meeting. ","Ghan, Christina; Rubio, Carmen; Schoene, Jillian","Preston Korst",
"Home Building Association of Greater Portland","08/29/2023","Email","Other: permit consolidation","testimony for permit consolidation resolution, 8/29","Ghan, Christina; Gonzalez, Rene; Lee, Bobby; Mapps, Mingus; Meyer, Katie; Rubio, Carmen; Ryan, Dan; Schoene, Jillian; Smith, Shah; Torres, Kellie; Wheeler, Ted","Preston Korst",
"Home Building Association of Greater Portland","08/29/2023","Email","Housing and Community Development","permit consolidation resolution testimony, 8/29","Esau, Rebecca","Preston Korst",
"Home Building Association of Greater Portland","09/22/2023","Email","Housing and Community Development","permit consolidation implementation","Esau, Rebecca","Preston Korst",
"Home Building Association of Greater Portland","09/28/2023","Email","Housing and Community Development","permit consolidation implementation ","Rubio, Carmen; Schoene, Jillian","Preston Korst",
"Home Building Association of Greater Portland","08/31/2023","Personal Meeting","Housing and Community Development","Permit consolidation effort follow-up, housing policy objectives","Mapps, Mingus","Preston Korst",
