"Entity","Contact date","Contact type","Subject","Action of interest","City official(s)","Lobbyist(s)",
"ACLU of Oregon","01/07/2020","Personal Meeting","Other: Facial Recognition Technology","proposed ban","Bradley, Derek","Jessica Maravilla; Mariana Garcia Medina",
"ACLU of Oregon","01/21/2020","Personal Meeting","Other: Facial Recognition Technology","proposed ban","Bradley, Derek; Hardesty, Jo Ann","Jessica Maravilla; Sandy Chung",
"ACLU of Oregon","01/27/2020","Telephone","Other: Facial Recognition Technology","proposed ban","Bradley, Derek","Jessica Maravilla",
"ACLU of Oregon","01/30/2020","Email","Other: Facial Recognition Technology","proposed ban","Bradley, Derek","Jessica Maravilla",
"ACLU of Oregon","01/08/2020","Telephone","Other: Facial Recognition Technology","proposed ban","Tran, Khanh","Jessica Maravilla",
"ACLU of Oregon","01/13/2020","Telephone","Other: Facial Recognition Technology","proposed ban","Tran, Khanh","Jessica Maravilla",
"Asian Pacific American Network of Oregon","01/13/2020","Personal Meeting","Environment: natural","Discussion of BPS engagement with culturally-specific organizations, including future climate action plan and climate emergency resolution","Durbin, Andrea","Chi Nguyen; Jenny Lee",
"Asian Pacific American Network of Oregon","03/26/2020","Meeting Preparation","Other: City engagement - COVID","Planning for community-based organization town hall around COVID response engagement.","Wheeler, Ted","Jenny Lee",
"Asian Pacific American Network of Oregon","03/27/2020","Personal Meeting","Other: COVID response","Meeting of community-based organizations and city officials and staff to discuss urgent community needs for COVID.","Adamsick, Claire; Diaz, Sam; Durbin, Andrea; Martin, Lyne; Oswill, Andres; Rhee, Suk; Runkel, Marshall; Weeke, Margaux; Wheeler, Ted","Jenny Lee",
"Asian Pacific American Network of Oregon","03/20/2020","Committee Meeting","Business and Economic Development","Attending the city Economic Impact and Intervention Task Force","Branam, Kimberly; Hardesty, Jo Ann; Wheeler, Ted","Duncan Hwang",
"Bird Rides, Inc.","01/22/2020","Personal Meeting","Business and Economic Development","proposed Metro Transportation Bond the potential for Bird to partner with the City of Portland on some of the C40 and Bloomberg Mayor's Challenge sustainability initiatives. 
","Dennis, Kristin; Wheeler, Ted","Maurice Henderson",
"Bird Rides, Inc.","02/11/2020","Text Message","Other: e-scooter pilot","schedule meeting for e-scooter pilot update 
","Runkel, Marshall","Johnell Bell",
"Bird Rides, Inc.","02/19/2020","Personal Meeting","Business and Economic Development","Bird e-scooter pilot update
","Runkel, Marshall","Christopher Brown; Johnell Bell",
"BRIDGE Housing Corporation","01/27/2020","Email","Other: BRIDGE Housing Hollywood Transit project","Schedule meeting regarding potential new project that would involve negotiations with Bureau of Transportation ","Runkel, Marshall","Erik Sten",
"BRIDGE Housing Corporation","03/27/2020","Telephone","Other: BRIDGE Housing - Hollywood Transit site","Update on potential project and request meeting","Runkel, Marshall","Erik Sten",
"Business For A Better Portland","01/10/2020","Meeting Preparation","Planning","Prep for residential infill testimony","Durbin, Andrea","Adrienne Leverette",
"Business For A Better Portland","01/13/2020","Committee Meeting","Planning","Residential infill testimony","Durbin, Andrea","Adrienne Leverette",
"Business For A Better Portland","01/15/2020","Committee Meeting","Planning","Council meeting re residential infill","Wheeler, Ted","Adrienne Leverette",
"Business For A Better Portland","01/24/2020","Committee Meeting","Planning","Residential infill communications","Durbin, Andrea","Adrienne Leverette",
"Business For A Better Portland","02/04/2020","Meeting Preparation","Planning","Op-ed preparation ","Durbin, Andrea","Adrienne Leverette; Elizabeth Ashley Henry",
"Business For A Better Portland","02/06/2020","Committee Meeting","Transportation: streets, sidewalks and street lighting","Rose Lanes Project","Duhamel, Jamey","Adrienne Leverette",
"Business For A Better Portland","02/07/2020","Committee Meeting","Planning","Residential infill communications","Durbin, Andrea","Adrienne Leverette",
"Business For A Better Portland","02/12/2020","Meeting Preparation","Transportation: streets, sidewalks and street lighting","Testimony prep","Eudaly, Chloe","Adrienne Leverette",
"Business For A Better Portland","02/13/2020","Committee Meeting","Transportation: Local Improvement District (LID)","Testimony re Rose Lanes","Eudaly, Chloe","Adrienne Leverette",
"Business For A Better Portland","03/06/2020","Committee Meeting","Planning","Residential infill communications","Durbin, Andrea","Adrienne Leverette",
"Business For A Better Portland","03/09/2020","Meeting Preparation","Planning","Residential infill ","Durbin, Andrea","Adrienne Leverette",
"Business For A Better Portland","03/12/2020","Committee Meeting","Planning","Residential infill testimony","Wheeler, Ted","Adrienne Leverette",
"Crown Castle and its Affiliates","01/17/2020","Email","Other: Communications Infrastructure","Discussions related to franchisee negotiations with the OCT.","Perez, Elisabeth","Kathy Putt",
"Crown Castle and its Affiliates","01/23/2020","Committee Meeting","Other: Communications Infrastructure","Discussions related to franchisee negotiations with the OCT","Tran, Khanh","Evyan Andries; Kathy Putt",
"Living Cully","01/02/2020","Telephone","Housing and Community Development","tenant opportunity to purchase","Duhamel, Jamey","Cameron Herrington",
"Living Cully","01/06/2020","Email","Housing and Community Development","tenant opportunity to puchase","Duhamel, Jamey","Cameron Herrington",
"Living Cully","01/13/2020","Telephone","Housing and Community Development","residential infill project","Duhamel, Jamey","Cameron Herrington",
"Living Cully","02/11/2020","Telephone","Housing and Community Development","residential infill project","Oswill, Andres","Cameron Herrington",
"Living Cully","02/12/2020","Email","Housing and Community Development","residential infill project","Oswill, Andres","Cameron Herrington",
"Living Cully","02/04/2020","Personal Meeting","Housing and Community Development","residential infill project","Zehnder, Joe","Cameron Herrington",
"Living Cully","03/03/2020","Personal Meeting","Housing and Community Development","tenant opportunity to purchase","Duhamel, Jamey; Oswill, Andres","Cameron Herrington",
"Living Cully","03/03/2020","Personal Meeting","Housing and Community Development","anti-displacement action plan","Zehnder, Joe","Cameron Herrington",
"Living Cully","03/05/2020","Telephone","Housing and Community Development","tenant opportunity to purchase","Oswill, Andres","Cameron Herrington",
"Lyft, Inc.","03/03/2020","Email","Transportation: streets, sidewalks and street lighting","COVID-19","Dennis, Kristin; Eudaly, Chloe; Runkel, Marshall; Wheeler, Ted","Amy Ruiz",
"Multifamily NW","03/16/2020","Telephone","Other: COVID-19","Discuss upcoming eviction moratorium","Fox, Jamal","Chris Edmonds",
"Multifamily NW","03/17/2020","Text Message","Other: COVID-19","Discuss roll-out of eviction moratorium","Fox, Jamal","Chris Edmonds",
"Multifamily NW","03/17/2020","Telephone","Other: COVID-19","Discuss housing policy in light of COVID-19","Wheeler, Ted","Chris Edmonds; Deborah Imse; Molly McGrew",
"Multifamily NW","03/26/2020","Text Message","Other: COVID-19","Discuss red tape/regulation waiver proposal and social media calls for ""rent strike""","Fox, Jamal","Chris Edmonds",
"Multifamily NW","03/26/2020","Telephone","Other: COVID-19","Discuss red tape/regulation waiver proposal and social media calls for ""rent strike""","Fox, Jamal","Chris Edmonds",
"Neutron Holdings, Inc dba Lime","02/11/2020","Personal Meeting","Transportation: streets, sidewalks and street lighting","Scooter Cap Calculations","Runkel, Marshall; Warner Chris","Jonathan Hopkins",
"Neutron Holdings, Inc dba Lime","01/22/2020","Personal Meeting","Transportation: streets, sidewalks and street lighting","Scooters","Runkel, Marshall","Leonard J Bergstein",
"Neutron Holdings, Inc dba Lime","02/13/2020","Personal Meeting","Transportation: streets, sidewalks and street lighting","Scooters","Runkel, Marshall","Leonard J Bergstein",
"NW Natural","01/24/2020","Meeting Preparation","Sustainable Development: energy","Low Carbon Pathway presentation prep for upcoming BES meeting","Jordan, Michael","Jennifer Yocom; Mary Moerlins; Nina Carlson",
"NW Natural","01/28/2020","Personal Meeting","Other: Low Carbon Pathway","Low Carbon Pathway Presentation to BES Staff","Jordan, Michael","Jennifer Yocom; Mary Moerlins; Nina Carlson",
"NW Natural","03/30/2020","Personal Meeting","Other: Low Carbon Pathway","Low Carbon Pathway overview with Amanda Watson ","Tran, Khanh","Nina Carlson",
"NW Natural","03/13/2020","Personal Meeting","Sustainable Development: energy","Low Carbon Pathway overview for PCEF, Sam Barso","Diaz, Sam","Nina Carlson",
"NW Natural","02/19/2020","Meeting Preparation","Sustainable Development: energy","Preparation for Climate Emergency Resolution","Diaz, Sam","Jennifer Yocom; Mary Moerlins; Nina Carlson",
"NW Natural","02/24/2020","Telephone","Sustainable Development: energy","Climate Emergency Resolution","Schmanski, Sonia","Jennifer Yocom",
"NW Natural","03/19/2020","Telephone","Cable and Franchise","Franchise audit settlement","Perez, Elisabeth","Nina Carlson",
"NW Natural","03/21/2020","Email","Other: Climate Emergency Resolution response and materials","Submitted letter of response and supplemental materials for Climate Emergency Resolution","Durbin, Andrea; Eudaly, Chloe; Fritz, Amanda; Hardesty, Jo Ann; Schmanski, Sonia; Wheeler, Ted","Jennifer Yocom; Kathryn Williams; Mary Moerlins",
"NW Natural","03/30/2020","Email","Sustainable Development: energy","Feedback on Climate Emergency Resolution to Amanda Watson who is not listed ","Diaz, Sam","Jennifer Yocom",
"NW Natural","02/21/2020","Personal Meeting","Other: Low Carbon Pathway","Low Carbon Pathway with Noah Siegel not listed (Chris Warner used as Place marker)","Warner Chris","Jennifer Yocom",
"Orange Barrel Media","01/14/2020","Email","Transportation: streets, sidewalks and street lighting","kiosks","Runkel, Marshall","Erik Sten",
"Orange Barrel Media","02/03/2020","Email","Transportation: streets, sidewalks and street lighting","kiosks","Runkel, Marshall","Amy Ruiz; Brian Ramey; Erik Sten",
"Orange Barrel Media","02/04/2020","Email","Transportation: streets, sidewalks and street lighting","kiosks","Runkel, Marshall","Amy Ruiz; Brian Ramey; Erik Sten",
"Orange Barrel Media","02/06/2020","Email","Transportation: streets, sidewalks and street lighting","kiosks","Runkel, Marshall","Amy Ruiz; Brian Ramey; Erik Sten",
"Orange Barrel Media","01/15/2020","Telephone","Transportation: streets, sidewalks and street lighting","kiosks","Runkel, Marshall","Erik Sten",
"Orange Barrel Media","02/10/2020","Email","Transportation: streets, sidewalks and street lighting","kiosks","Runkel, Marshall","Erik Sten",
"Orange Barrel Media","03/11/2020","Telephone","Transportation: streets, sidewalks and street lighting","kiosks","Runkel, Marshall","Erik Sten",
"Orange Barrel Media","03/31/2020","Telephone","Transportation: streets, sidewalks and street lighting","kiosks","Runkel, Marshall","Erik Sten",
"Orange Barrel Media","03/31/2020","Email","Transportation: streets, sidewalks and street lighting","kiosks","Runkel, Marshall","Erik Sten",
"Oregon Museum of Science and Industry ","01/14/2020","Personal Meeting","Development Services","Master Plan Redevelopment ","Fox, Jamal","Preston Greene",
"Oregon Museum of Science and Industry ","01/16/2020","Telephone","Development Services","Master Plan Redevelopment ","Fox, Jamal","Rachael Wiggins Emory",
"Oregon Museum of Science and Industry ","01/20/2020","Email","Development Services","Master Plan Redevelopment ","Fox, Jamal","Rachael Wiggins Emory",
"Oregon Museum of Science and Industry ","02/20/2020","Email","Development Services","Master Plan Redevelopment ","Fox, Jamal","Rachael Wiggins Emory",
"Oregon Museum of Science and Industry ","03/31/2020","Email","Business and Economic Development","COVID-19 impact ","Fox, Jamal","Rachael Wiggins Emory",
"Oregon Smart Growth","01/09/2020","Telephone","Planning","Residential Infill Project, permitting timelines","Diaz, Sam","Amy Ruiz",
"Oregon Smart Growth","01/16/2020","Telephone","Planning","Residential Infill Project, permitting timelines","Diaz, Sam","Amy Ruiz",
"Oregon Smart Growth","01/17/2020","Email","Planning","Residential Infill Project council testimony
","Adamsick, Claire; Bradley, Derek; Diaz, Sam; Duhamel, Jamey; Eudaly, Chloe; Fritz, Amanda; Hardesty, Jo Ann; Wheeler, Ted","Amy Ruiz; Gwenn A Baldwin",
"Oregon Smart Growth","02/05/2020","Personal Meeting","Housing and Community Development","inclusionary housing market study","Callahan, Shannon","Amy Ruiz",
"Oregon Smart Growth","02/06/2020","Email","Planning","permitting timelines/process","Diaz, Sam","Amy Ruiz",
"Oregon Smart Growth","02/07/2020","Telephone","Planning","Residential Infill Project, permitting","Diaz, Sam","Amy Ruiz",
"Oregon Smart Growth","02/12/2020","Email","Planning","Central City 2035","Diaz, Sam","Amy Ruiz",
"Oregon Smart Growth","02/18/2020","Email","Planning","Central City 2035","Diaz, Sam","Amy Ruiz",
"Oregon Smart Growth","02/24/2020","Email","Planning","Central City 2035","Diaz, Sam","Amy Ruiz",
"Oregon Smart Growth","03/10/2020","Email","Planning","Central City 2035","Diaz, Sam","Amy Ruiz",
"Oregon Smart Growth","03/12/2020","Email","Planning","Central City 2035","Diaz, Sam","Amy Ruiz",
"Oregon Smart Growth","03/12/2020","Text Message","Planning","Central City 2035","Diaz, Sam","Amy Ruiz",
"Oregon Smart Growth","03/17/2020","Text Message","Planning","Central City 2035","Diaz, Sam","Amy Ruiz",
"Oregon Smart Growth","03/20/2020","Email","Planning","Central City 2035","Diaz, Sam","Amy Ruiz",
"Oregon Smart Growth","02/25/2020","Email","Housing and Community Development","inclusionary housing market study","Williams, Tia","Amy Ruiz",
"Oregon Smart Growth","03/26/2020","Email","Housing and Community Development","inclusionary housing market study","Callahan, Shannon; Williams, Tia","Amy Ruiz",
"Oregon Smart Growth","02/19/2020","Email","Planning","permitting timelines/process","Diaz, Sam","Amy Ruiz",
"Oregon Smart Growth","02/24/2020","Email","Planning","permitting timelines/process","Diaz, Sam","Amy Ruiz",
"Oregon Smart Growth","03/04/2020","Telephone","Planning","Residential Infill Project, permitting, bird-safe glass, Central City 2035","Diaz, Sam","Amy Ruiz",
"Oregon Smart Growth","03/05/2020","Email","Planning","FAR in historic districts","Diaz, Sam","Amy Ruiz",
"Oregon Smart Growth","03/12/2020","Email","Planning","Residential Infill Project council testimony","Adamsick, Claire; Bradley, Derek; Diaz, Sam; Duhamel, Jamey; Eudaly, Chloe; Fritz, Amanda; Hardesty, Jo Ann; Wheeler, Ted","Amy Ruiz; Gwenn A Baldwin",
"Oregon Smart Growth","03/19/2020","Email","Other: COVID-19","stay home order","Diaz, Sam; Schmanski, Sonia; Williams, Tia","Amy Ruiz",
"Oregon Smart Growth","03/21/2020","Email","Other: COVID-19","stay home order","Schmanski, Sonia","Amy Ruiz",
"Oregon Smart Growth","03/19/2020","Email","Planning","bird-safe glass","Diaz, Sam","Amy Ruiz",
"Portland Business Alliance","01/17/2020","Personal Meeting","Business and Economic Development","Facial recognition ban, CHIERS Sobering station closure, Police Chief Transition, Plastic bag ban and fee","Alexander, Cupid; Wheeler, Ted","Andrew Hoan; Jon Isaacs; Kiley Wilson; Lisa Frisch; Maureen Fisher",
"Portland Business Alliance","01/27/2020","Personal Meeting","Business and Economic Development","Facial Recognition ban, 20-21 budget, rose lane project, gas tax","Eudaly, Chloe; Runkel, Marshall","Jon Isaacs; Kiley Wilson; Lisa Frisch; Maureen Fisher",
"Portland Business Alliance","02/26/2020","Personal Meeting","Business and Economic Development","Introductions","Outlaw, Danielle","Andrew Hoan; Jon Isaacs; Kiley Wilson; Lisa Frisch; Maureen Fisher",
"Portland Business Alliance","03/09/2020","Personal Meeting","Business and Economic Development","Downtown Updates, climate resolution, the budget process","Alexander, Cupid; Wheeler, Ted","Andrew Hoan; Jon Isaacs; Kiley Wilson; Lisa Frisch; Maureen Fisher",
"Portland Business Alliance","01/21/2020","Meeting Preparation","Business and Economic Development","Committee prep: land use and tree code updates","Diaz, Sam","Kiley Wilson",
"Portland Business Alliance","01/22/2020","Committee Meeting","Business and Economic Development","Land Use and housing committee: Tree code, residential infill, DOZA","Diaz, Sam","Kiley Wilson",
"Portland Business Alliance","01/24/2020","Personal Meeting","Business and Economic Development","Schmanski check-in: job change, facial recognition","Schmanski, Sonia","Jon Isaacs; Kiley Wilson",
"Portland Business Alliance","03/17/2020","Committee Meeting","Business and Economic Development","Prosper Portland Economic Action Committee","Branam, Kimberly; Wheeler, Ted","Jon Isaacs; Maureen Fisher",
"Portland Business Alliance","03/18/2020","Committee Meeting","Business and Economic Development","Prosper Portland Economic Action Committee","Branam, Kimberly; Wheeler, Ted","Jon Isaacs; Maureen Fisher",
"Portland Business Alliance","03/20/2020","Committee Meeting","Business and Economic Development","Prosper Portland Economic Action Committee","Branam, Kimberly; Wheeler, Ted","Jon Isaacs; Maureen Fisher",
"Portland Business Alliance","03/23/2020","Committee Meeting","Business and Economic Development","Prosper Portland Economic Action Committee","Branam, Kimberly; Wheeler, Ted","Jon Isaacs; Maureen Fisher",
"Portland Business Alliance","03/24/2020","Committee Meeting","Business and Economic Development","Prosper Portland Economic Action Committee","Branam, Kimberly; Wheeler, Ted","Jon Isaacs; Maureen Fisher",
"Portland Business Alliance","03/25/2020","Committee Meeting","Business and Economic Development","Prosper Portland Economic Action Committee","Branam, Kimberly; Wheeler, Ted","Jon Isaacs; Maureen Fisher",
"Portland Business Alliance","03/26/2020","Committee Meeting","Business and Economic Development","Prosper Portland Economic Action Committee","Branam, Kimberly; Wheeler, Ted","Jon Isaacs; Maureen Fisher",
"Portland Business Alliance","03/30/2020","Committee Meeting","Business and Economic Development","Prosper Portland Economic Action Committee","Branam, Kimberly; Wheeler, Ted","Jon Isaacs; Maureen Fisher",
"Portland Business Alliance","03/31/2020","Committee Meeting","Business and Economic Development","Prosper Portland Economic Action Committee","Branam, Kimberly; Wheeler, Ted","Jon Isaacs; Maureen Fisher",
"Portland Business Alliance","01/12/2020","Telephone","Business and Economic Development","General Update: CHIERS sobering station","Wheeler, Ted","Andrew Hoan",
"Portland Business Alliance","03/21/2020","Telephone","Business and Economic Development","Stay at home orders","Wheeler, Ted","Andrew Hoan",
"Portland Business Alliance","02/20/2020","Telephone","Business and Economic Development","GPI Update","Dennis, Kristin","Andrew Hoan",
"Portland Business Alliance","02/25/2020","Telephone","Business and Economic Development","GPI Update","Dennis, Kristin","Andrew Hoan",
"Portland Business Alliance","02/27/2020","Telephone","Business and Economic Development","Metro Mayor Consortium","Dennis, Kristin","Andrew Hoan",
"Portland Business Alliance","03/11/2020","Telephone","Business and Economic Development","Homeless Services","Dennis, Kristin","Andrew Hoan",
"Portland Business Alliance","03/25/2020","Telephone","Business and Economic Development","Stay at home orders","Dennis, Kristin","Andrew Hoan",
"Portland Business Alliance","03/25/2020","Telephone","Business and Economic Development","Stay at home orders","Dennis, Kristin","Andrew Hoan",
"Portland Business Alliance","03/25/2020","Telephone","Business and Economic Development","Stay at home orders","Dennis, Kristin","Andrew Hoan",
"Portland Business Alliance","03/27/2020","Telephone","Business and Economic Development","Stay at home orders","Dennis, Kristin","Andrew Hoan",
"Portland Business Alliance","03/27/2020","Telephone","Business and Economic Development","Portland relief fund","Dennis, Kristin","Andrew Hoan",
"Portland Business Alliance","03/27/2020","Telephone","Business and Economic Development","Portland relief fund","Dennis, Kristin","Andrew Hoan",
"Portland Business Alliance","03/30/2020","Telephone","Business and Economic Development","Mayorial video COVID Roundtable","Dennis, Kristin","Andrew Hoan",
"Portland Business Alliance","03/30/2020","Telephone","Business and Economic Development","Mayorial video COVID roundtable","Dennis, Kristin","Andrew Hoan",
"Portland Business Alliance","03/06/2020","Email","Business and Economic Development","Informational tech meeting","Lannom, Thomas","Andrew Hoan",
"Portland Business Alliance","01/24/2020","Personal Meeting","Business and Economic Development","Alliance Board Retreat Panel on Political Landscape for 2020","Wheeler, Ted","Andrew Hoan",
"Portland Diamond Project","01/24/2020","Email","Business and Economic Development","PDP/Restore Oregon Carousel Press event","Fox, Jamal; Park, Eileen","Johnell Bell",
"Portland Diamond Project","02/27/2020","Personal Meeting","Business and Economic Development","PDP Transportation Study Update","Runkel, Marshall; Warner Chris","Amy Ruiz; Christe White; Gary Oxley; Johnell Bell",
"Portland Diamond Project","03/04/2020","Email","Business and Economic Development","PDP Transportation Study follow up","Runkel, Marshall; Warner Chris","Johnell Bell",
"Portland Diamond Project","03/19/2020","Personal Meeting","Business and Economic Development","PDP Transportation Study update","Warner Chris","Christe White; Craig Cheek; Johnell Bell",
"Portland General Electric Company","02/28/2020","Telephone","Sustainable Development: energy","Discussion of the City's draft climate emergency declaration. ","Durbin, Andrea","Deane Funk; Elysia Treanor",
"Portland General Electric Company","02/19/2020","Telephone","Sustainable Development: energy","Discuss City's climate action plan. ","Perez, Elisabeth","Dave Robertson",
"Portland General Electric Company","02/28/2020","Telephone","Sustainable Development: energy","Discussion on the City's emergency action plan declaration and PGE can best engage to support the City's action plan. ","Durbin, Andrea","Dave Robertson",
"Rip City Management/TBI","01/06/2020","Email","Other: Trail Blazers Event & Nick Fish Recognition","Trail Blazers 50th Anniversary Rip City Event; Nick Fish recognition","Schmanski, Sonia; Washington, Mustafa","Dan Jarman",
"Rip City Management/TBI","01/07/2020","Email","Other: Nick Fish Recognition","Nick Fish recognition","Schmanski, Sonia","Dan Jarman",
"Rip City Management/TBI","01/07/2020","Telephone","Other: Nick Fish Recognition","Nick Fish recognition","Washington, Mustafa","Dan Jarman",
"Rip City Management/TBI","01/08/2020","Email","Other: Nick Fish Recognition","Nick Fish recognition","Schmanski, Sonia","Dan Jarman",
"Rip City Management/TBI","01/14/2020","Email","Other: Nick Fish Recognition","Nick Fish recognition video","Schmanski, Sonia","Dan Jarman",
"Rip City Management/TBI","01/22/2020","Email","Other: Nick Fish Recognition","Trail Blazers 50th Anniversary proclamation","Washington, Mustafa","Dan Jarman",
"Rip City Management/TBI","02/02/2020","Email","Other: Rip City Day","Trail Blazers 50th Anniversary Rip City Day ","Washington, Mustafa","Dan Jarman",
"Rip City Management/TBI","02/06/2020","Email","Other: Rip City Day","Trail Blazers 50th Anniversary Rip City Day","Becker, Tim; Washington, Mustafa","Dan Jarman",
"Rip City Management/TBI","02/11/2020","Email","Other: Rip City Day","Trail Blazers 50th Anniversary Rip City Day ","Becker, Tim; Washington, Mustafa","Dan Jarman",
"Rip City Management/TBI","02/13/2020","Telephone","Other: Rip City Day","Trail Blazers 50th Anniversary Rip City Day ","Becker, Tim; Washington, Mustafa","Dan Jarman",
"Rip City Management/TBI","02/14/2020","Email","Other: Rip City Day","Trail Blazers 50th Anniversary Rip City Day ","Becker, Tim","Dan Jarman",
"Rip City Management/TBI","02/18/2020","Email","Other: Rip City Day","Trail Blazers 50th Anniversary Rip City Day ","Becker, Tim; Washington, Mustafa","Dan Jarman",
"The Confederated Tribes of the Grand Ronde Community of Oregon","01/28/2020","Email","Other: City/Tribe relationship","Regarding visit to the Confederated Tribes of Grand Ronde.","Edwards, Elizabeth","Martha Pellegrino",
"The Confederated Tribes of the Grand Ronde Community of Oregon","01/29/2020","Email","Other: City/Tribe relationship","Regarding visit to Confederated Tribes of Grand Ronde.","Edwards, Elizabeth","Martha Pellegrino",
"The Confederated Tribes of the Grand Ronde Community of Oregon","02/03/2020","Personal Meeting","Environment: natural","Meeting regarding River Plan/South Reach.","Durbin, Andrea","Martha Pellegrino",
"The Confederated Tribes of the Grand Ronde Community of Oregon","03/06/2020","Personal Meeting","Business and Economic Development","Meeting regarding economic development.","Branam, Kimberly","Martha Pellegrino",
"Verizon","01/02/2020","Telephone","Cable and Franchise","Franchise Agreement","Perez, Elisabeth; Tran, Khanh","Alex M. Leupp ; Amy Ruiz; Colleen DeShazer",
"Verizon","01/06/2020","Email","Cable and Franchise","Franchise Agreement","Perez, Elisabeth; Tran, Khanh","Amy Ruiz",
"Verizon","01/07/2020","Email","Cable and Franchise","Franchise Agreement","Perez, Elisabeth; Tran, Khanh","Amy Ruiz",
"Verizon","01/07/2020","Personal Meeting","Cable and Franchise","Franchise Agreement","Tran, Khanh","Amy Ruiz",
"Verizon","01/08/2020","Text Message","Cable and Franchise","Franchise Agreement","Tran, Khanh","Amy Ruiz",
