"Entity","Contact date","Contact end date","Contact type(s)","Subject","Action of interest","City official(s)","Lobbyist(s)",
"350PDX","04/01/2025","06/11/2025","Committee Meeting; Email; Meeting Preparation; Personal Meeting; Telephone; Text Message","Environment: natural","Budget proposals related to PCEF","Angelita Morillo; Candace Avalos; Jamey Evenstar; Jamie Dunphy; Maria Sipin; Mitch Green; Sameer Kanal; Spencer Knowles; Steve Novick; Suzy Deuster","Cherice Bock",
"350PDX","04/01/2025","04/18/2025","Email; Personal Meeting; Text Message","Environment: natural","Constituent meeting","Candace Avalos; Eva Stanganelli; Jamey Evenstar","Cherice Bock",
"350PDX","04/01/2025","04/11/2025","Email; Personal Meeting","Environment: natural","Constituent meeting","Spencer Knowles; Steve Novick","Cherice Bock",
"350PDX","04/01/2025","05/22/2025","Email; Personal Meeting; Text Message","Environment: natural","Constituent meeting","Angelita Morillo","Cherice Bock",
"350PDX","04/01/2025","04/23/2025","Email; Personal Meeting","Environment: natural","Constituent meeting","Eva Stanganelli; Jamie Dunphy","Cherice Bock",
"350PDX","04/01/2025","04/25/2025","Email; Personal Meeting","Environment: natural","Constituent meeting","Maria Sipin; Mitch Green","Cherice Bock",
"350PDX","04/01/2025","06/11/2025","Email; Personal Meeting","Environment: natural","Budget items related to urban forestry","Angelita Morillo; Candace Avalos; Elana Pirtle-Guiney; Jamie Dunphy; Jamie Dunphy; Mitch Green; Sameer Kanal; Steve Novick; Tiffany Koyama Lane","Cherice Bock",
"350PDX","04/01/2025","06/30/2025","Email; Personal Meeting; Text Message","Environment: natural","Building emissions","Angelita Morillo; Candace Avalos; Eva Stanganelli; Jamey Evenstar; Sofia Diffee; Suzy Deuster","Cherice Bock",
"350PDX","04/01/2025","06/30/2025","Email","Environment: natural","Preserving funding for urban forestry and shade trees in City budget process","Angelita Morillo; Candace Avalos; Dan Ryan; Elana Pirtle-Guiney; Eric Zimmerman; Jamie Dunphy; Jamie Dunphy; Loretta Smith; Mitch Green; Olivia Clark; Sameer Kanal; Steve Novick; Tiffany Koyama Lane","Brenna Bell",
"350PDX","04/14/2025","05/12/2025","Email","Environment: natural","Seeking the Councilor's involvement and participation in the May 12 DEQ hearing on Zenith Energy's Air Contaminant Discharge Permit. ","Sameer Kanal","Dineen Crowe",
"350PDX","04/14/2025","05/12/2025","Email","Environment: natural","Seeking the Councilor's involvement and participation in the May 12 DEQ hearing on Zenith Energy's Air Contaminant Discharge Permit. ","Maria Sipin","Dineen Crowe",
"350PDX","04/15/2025","05/12/2025","Email","Environment: natural","Seeking the Councilor's involvement and participation in the May 12 DEQ hearing on Zenith Energy's Air Contaminant Discharge Permit. ","Angelita Morillo","Dineen Crowe",
"350PDX","04/15/2025","05/12/2025","Email","Environment: natural","Seeking the Councilor's involvement and participation in the May 12 DEQ hearing on Zenith Energy's Air Contaminant Discharge Permit. ","Mitch Green","Dineen Crowe",
"350PDX","04/15/2025","04/30/2025","Email; Personal Meeting","Environment: natural","Shade equity and equitable tree canopy cover","Tiffany Koyama Lane","Brenna Bell",
"350PDX","05/29/2025","06/30/2025","Committee Meeting; Email; Meeting Preparation; Personal Meeting; Telephone; Text Message","Environment: natural","FEMA floodplain plan","Angelita Morillo; Candace Avalos; Dan Ryan; Jacq Tjaden; Jamey Evenstar; Sameer Kanal; Sofia Diffee; Spencer Knowles; Steve Novick; Suzy Deuster","Cherice Bock",
"350PDX","05/30/2025","06/30/2025","Email","Environment: natural","Constituent meeting","Sprout Chinn; Tiffany Koyama Lane","Cherice Bock",
"350PDX","06/09/2025","06/17/2025","Goodwill Building (non-lobbying)","Environment: natural","Recruiting the Councilor to the Rumble on the River Community Forum on the Willamette River and the Critical Energy Infrastructure Hub, and discussing these issues in person.","Mitch Green","Dineen Crowe",
"ACLU of Oregon, Inc.","04/01/2025","06/30/2025","Communication Preparation; Email; Goodwill Building (non-lobbying); Meeting Preparation; Personal Meeting; Telephone; Text Message","Other: democracy, civil liberties, civil rights","Democracy, civil liberties, civil rights, including immigrant and refugee rights and LGBTQ+ rights","Aisling Coghlan; Andre Miller; Angelita Morillo; Candace Avalos; Elana Pirtle-Guiney; Emily Hebbron; Jordan Wiley; Lisa Freeman; Maria Sipin; Michael Jordan; Mitch Green; Natalie Sept; Robert Day; Sameer Kanal; Sofia Diffee; Sprout Chinn; Suzy Deuster; Tiffany Koyama Lane","Eri Andriola; Ethan Krow; Jessica Maravilla; Mariana Garcia Medina; Michael Abrams; Sandy Chung",
"ACLU of Oregon, Inc.","04/01/2025","06/30/2025","Communication Preparation; Email; Goodwill Building (non-lobbying); Indirect Lobbying; Meeting Preparation; Personal Meeting; Social Media; Telephone; Text Message","Police Oversight","Portland police accountability","Aisling Coghlan; Andre Miller; Angelita Morillo; Candace Avalos; Dan Ryan; Elana Pirtle-Guiney; Emily Hebbron; Eric Zimmerman; Jamie Dunphy; Jamie Dunphy; Keith Wilson; Lisa Freeman; Loretta Smith; Michael Jordan; Mitch Green; Olivia Clark; Robert Day; Sameer Kanal; Steve Novick; Tiffany Koyama Lane","Eri Andriola; Ethan Krow; Jessica Maravilla; Kelly Simon; Sandy Chung; Yvonne Garcia",
"ACLU of Oregon, Inc.","04/04/2025","06/26/2025","Communication Preparation; Direct Mail; Email; Goodwill Building (non-lobbying); Indirect Lobbying; Meeting Preparation; Personal Meeting; Social Media; Telephone; Text Message; Virtual Meeting","Police and Public Safety","Public safety and policing, including police use of drone surveillance","Andre Miller; Angelita Morillo; Candace Avalos; Emily Hebbron; Lisa Freeman; Robert Day; Sameer Kanal; Tiffany Koyama Lane","Ethan Krow; Jessica Maravilla; Michael Abrams; Sandy Chung",
"ACLU of Oregon, Inc.","05/27/2025","05/30/2025","Communication Preparation; Email; Indirect Lobbying; Social Media; Telephone; Text Message","Police and Public Safety","Public safety and policing, including public safety related budgets","Angelita Morillo; Candace Avalos","Ethan Krow; Jessica Maravilla; Mariana Garcia Medina; Sandy Chung; Yvonne Garcia",
"Airbnb, Inc.","04/17/2025","","Committee Meeting","Business Licenses","Short-Term Rentals","Donnie Oliveira","Jordan Mitchell",
"Airbnb, Inc.","05/27/2025","","Committee Meeting","Business Licenses","Short-Term Rentals","Donnie Oliveira","Jordan Mitchell",
"Airbnb, Inc.","05/28/2025","","Committee Meeting","Other: City Portal","STR","Donnie Oliveira","Anna Richter Taylor ",
"Airbnb, Inc.","06/05/2025","","Committee Meeting","Other: Follow up to city portal ","STR","Donnie Oliveira","Anna Richter Taylor ",
"BikeLoud PDX","04/01/2025","04/03/2025","Email","Transportation: streets, sidewalks and street lighting","Emails regarding bike access through River View cemetery","Mitch Green","Kiel Johnson",
"BikeLoud PDX","06/05/2025","","Email","Transportation: streets, sidewalks and street lighting","Asking to maintain car-free plazas on NW 13th","Millicent Williams","Kiel Johnson",
"BikeLoud PDX","06/05/2025","","Email","Transportation: streets, sidewalks and street lighting","Emails opposing removal of traffic diversion in NW Portland","Eric Zimmerman","Kiel Johnson",
"BikeLoud PDX","06/19/2025","","Indirect Lobbying","Transportation: streets, sidewalks and street lighting","Email to membership calling for separating bike and train infrastructure in inner SE Portland","Millicent Williams","Kiel Johnson",
"Breach Collective","04/14/2025","06/09/2025","Telephone; Virtual Meeting","Environment: natural","Policy covering the Critical Infrastructure Hub ","Maria Sipin; Mitch Green; Suzy Deuster","Nicholas Caleb",
"Breach Collective","04/14/2025","","Personal Meeting","Other: Governance Committee","Governance Committee Priorities","Tiffany Koyama Lane","Nicholas Caleb",
"Breach Collective","04/18/2025","06/20/2025","Personal Meeting; Telephone; Virtual Meeting","Environment: natural","Zenith Investigations (franchise agreement & auditor investigation)
*Auditor is unlisted in the city officials list -- I sent a letter on 5/13/25 and had a meeting on 6/17/25","Aisling Coghlan; Angelita Morillo; Keith Wilson; Maria Sipin; Mitch Green; Suzy Deuster","Nicholas Caleb",
"Breach Collective","04/18/2025","06/05/2025","Email; Telephone; Virtual Meeting","Environment: natural","Budget (including PCEF loan concept)","Maria Sipin; Mitch Green; Sameer Kanal","Nicholas Caleb",
"Breach Collective","05/20/2025","06/27/2025","Committee Meeting; Email; Meeting Preparation; Telephone; Virtual Meeting","Sustainable Development: energy","Gas & Electrification panel for Climate, Land Use, and Resilience Committee ","Angelita Morillo","Danny Noonan",
"Breach Collective","06/16/2025","","Telephone","Police and Public Safety","ICE in Portland; Human Rights Commission","Lisa Freeman","Nicholas Caleb",
"CareOregon","04/07/2025","","Email","Fire, Rescue and Emergency Services","CHAT","Lisa Freeman","Rachael Wiggins Emory",
"CareOregon","04/07/2025","","Email","Fire, Rescue and Emergency Services","CHAT","Sameer Kanal","Rachael Wiggins Emory",
"CareOregon","04/11/2025","","Virtual Meeting","Fire, Rescue and Emergency Services","CHAT","Sameer Kanal","Jeremiah Rigsby; Rachael Wiggins Emory",
"Coalition of Communities of Color","04/01/2025","04/30/2025","Communication Preparation; Email; Goodwill Building (non-lobbying); Indirect Lobbying; Meeting Preparation; Text Message; Virtual Meeting","Environment: natural","Keeping city code related to the Portland Clean Energy Fund intact, including maintaining current tax rate and current allocations to grants and projects","Andre Miller; Angelita Morillo; Candace Avalos; Donnie Oliveira; Eric Engstrom; Jamie Dunphy; Jamie Dunphy; Maria Sipin; Mitch Green; Spencer Knowles; Steve Novick","Alex Riedlinger; Jenny Lee",
"Coalition of Communities of Color","04/08/2025","04/15/2025","Communication Preparation","Housing and Community Development","Investments in affordable housing and responses to homelessness, including housing and supportive services (helped prepare communications submitted by the Welcome Home Coalition)","Angelita Morillo; Candace Avalos; Dan Ryan; Elana Pirtle-Guiney; Eric Zimmerman; Jamie Dunphy; Keith Wilson; Loretta Smith; Mitch Green; Olivia Clark; Sameer Kanal; Steve Novick; Tiffany Koyama Lane","Jenny Lee",
