"Entity","Contact date","Contact type","Subject","Action of interest","City official(s)","Lobbyist(s)",
"ACLU of Oregon","06/03/2020","Email","Police and Public Safety","Police accountability, police protest tactics","Resch, Jami; Wheeler, Ted","Courtney Helstein; Kelly Simon; Sandy Chung",
"ACLU of Oregon","06/04/2020","Telephone","Police and Public Safety","ban tear gas, demilitarize police; Meeting was with Hannah Holloway, drop down menu needs updating","Eudaly, Chloe","Courtney Helstein; Kelly Simon; Sandy Chung",
"ACLU of Oregon","06/03/2020","Email","Police and Public Safety","Ban tear gas, demilitarize police
","Hardesty, Jo Ann","Sandy Chung",
"ACLU of Oregon","06/09/2020","Email","Police and Public Safety","Ban tear gas, demilitarize police
","Eudaly, Chloe","Kelly Simon; Sandy Chung",
"ACLU of Oregon","06/15/2020","Email","Police and Public Safety","Crowd control directive changes
","Eudaly, Chloe","Kelly Simon; Sandy Chung",
"ACLU of Oregon","06/15/2020","Telephone","Police and Public Safety","Crowd control directive changes
","Bradley, Derek","Kelly Simon; Sandy Chung",
"ACLU of Oregon","06/15/2020","Email","Police and Public Safety","Crowd control directive changes
","Bradley, Derek","Kelly Simon; Sandy Chung",
"ACLU of Oregon","06/23/2020","Telephone","Police and Public Safety","Crowd control directive changes
","Bradley, Derek","Kelly Simon; Sandy Chung",
"Amazon.com Services LLC","06/17/2020","Email","Other: FRT ordinance","Estimated timeline for the FRT ordinance.","Bradley, Derek","Courtney Lee",
"Asian Pacific American Network of Oregon","06/01/2020","Personal Meeting","Business and Economic Development","Ordinance to limit restaurant delivery fees.","Oswill, Andres","Jenny Lee",
"Asian Pacific American Network of Oregon","04/16/2020","Telephone","Other: Form of government","Discussion of charter review commission process and general discussion of APANO's work on voting methods and form of government. ","Oswill, Andres","Jenny Lee",
"Asian Pacific American Network of Oregon","04/28/2020","Personal Meeting","Other: Worker Relief Fund","Community planning to develop budget request and advocacy for the City of Portland to contribute to the Oregon Worker Relief Fund.","Bradley, Derek; Lawrence, Asena; Oswill, Andres","Jenny Lee",
"Asian Pacific American Network of Oregon","04/21/2020","Personal Meeting","Other: Worker Relief Fund","Community planning to develop budget request and advocacy for the City of Portland to contribute to the Oregon Worker Relief Fund.","Bradley, Derek; Lawrence, Asena; Oswill, Andres","Jenny Lee",
"Asian Pacific American Network of Oregon","04/14/2020","Personal Meeting","Other: Worker Relief Fund","Community planning to develop budget request and advocacy for the City of Portland to contribute to the Oregon Worker Relief Fund.","Bradley, Derek; Lawrence, Asena; Oswill, Andres","Jenny Lee",
"Asian Pacific American Network of Oregon","05/05/2020","Personal Meeting","Other: Worker Relief Fund","Community planning to develop budget request and advocacy for the City of Portland to contribute to the Oregon Worker Relief Fund.","Bradley, Derek; Lawrence, Asena; Oswill, Andres","Jenny Lee",
"Asian Pacific American Network of Oregon","06/25/2020","Personal Meeting","Other: Restaurant delivery fees","Support of policies and advocacy for legislation to cap delivery fees on restaurants.","Oswill, Andres","Jenny Lee",
"Asian Pacific American Network of Oregon","05/14/2020","Personal Meeting","Other: Resiliency resolution","Community coalition meeting to discuss the process and draft of the resilience and equity resolution in response to COVID-19.","Diaz, Sam","Jenny Lee",
"Asian Pacific American Network of Oregon","06/29/2020","Personal Meeting","Other: Resiliency resolution","Discussion of implementation of City's recently passed Resiliency Resolution and how community organizations can engage.","Adamsick, Claire; Bradley, Derek; Branam, Kimberly; Callahan, Shannon; Castro, Cynthia; Dessou, Koffi; Diaz, Sam; McNally, Matt; Rhee, Suk; Schmanski, Sonia; Warner Chris","Jenny Lee",
"Asian Pacific American Network of Oregon","04/03/2020","Committee Meeting","Business and Economic Development","COVID Economic and Intervention Task Force","Branam, Kimberly; Hardesty, Jo Ann; Wheeler, Ted","Duncan Hwang",
"Asian Pacific American Network of Oregon","05/01/2020","Committee Meeting","Business and Economic Development","COVID Economic Impact and Intervention Task Force","Branam, Kimberly; Hardesty, Jo Ann; Wheeler, Ted","Duncan Hwang",
"Asian Pacific American Network of Oregon","05/15/2020","Committee Meeting","Business and Economic Development","COVID Economic recovery and intervention","Branam, Kimberly; Hardesty, Jo Ann; Wheeler, Ted","Duncan Hwang",
"Asian Pacific American Network of Oregon","05/29/2020","Committee Meeting","Business and Economic Development","COVID Economic Recovery and Intervention","Branam, Kimberly; Hardesty, Jo Ann; Wheeler, Ted","Duncan Hwang",
"Asian Pacific American Network of Oregon","06/10/2020","Email","Police and Public Safety","Shared testimony to reduce police budget and reinvest in community social services.","Eudaly, Chloe; Fritz, Amanda; Hardesty, Jo Ann; Wheeler, Ted","Jenny Lee",
"AT&T","05/19/2020","Email","Other: COVID, Digital Divide","E-Mail from Elisabeth Perez regarding work being done by the City of Portland to bridge the digital divide.","Perez, Elisabeth","George Granger",
