"Entity","Contact date","Contact type","Subject","Action of interest","City official(s)","Lobbyist(s)",
"Airbnb, Inc.","01/14/2014","Email","Business and Economic Development","Portland Office Space","Alpert, Josh; Hanyes, Dana","Daniel E Jarman",
"Airbnb, Inc.","01/15/2014","Email","Business and Economic Development","Portland Office Space","Alpert, Josh","Daniel E Jarman",
"Airbnb, Inc.","03/06/2014","Email","Business and Economic Development","Portland Office Space","Alpert, Josh","Daniel E Jarman",
"Airbnb, Inc.","03/11/2014","Email","Planning","RICAP 6","Alpert, Josh","Daniel E Jarman",
"Airbnb, Inc.","03/12/2014","Telephone","Planning","RICAP 6","Alpert, Josh","Daniel E Jarman",
"Airbnb, Inc.","03/14/2014","Telephone","Planning","RICAP 6","Hales, Charlie","Daniel E Jarman",
"Airbnb, Inc.","03/14/2014","Personal Meeting","Planning","RICAP 6","Alpert, Josh","Daniel E Jarman",
"Airbnb, Inc.","03/14/2014","Personal Meeting","Planning","RICAP 6","Merlo, Carmen","Daniel E Jarman",
"Airbnb, Inc.","03/17/2014","Email","Planning","RICAP 6","Alpert, Josh","Daniel E Jarman",
"Airbnb, Inc.","03/19/2014","Telephone","Planning","RICAP 6","Alpert, Josh","Daniel E Jarman",
"Airbnb, Inc.","03/21/2014","Email","Planning","RICAP 6","Alpert, Josh; Hanyes, Dana","Daniel E Jarman",
"Airbnb, Inc.","03/26/2014","Email","Planning","RICAP 6","Fish, Nick; Novick, Steve; Saltzman, Dan","Daniel E Jarman",
"Airbnb, Inc.","01/23/2014","Email","Planning","RICAP 6","Alpert, Josh","Daniel E Jarman",
"Airbnb, Inc.","01/28/2014","Telephone","Planning","RICAP 6","Dingfelder, Jackie","Daniel E Jarman",
"Airbnb, Inc.","02/12/2014","Telephone","Planning","RICAP 6","Dingfelder, Jackie","Daniel E Jarman",
"Airbnb, Inc.","02/14/2014","Personal Meeting","Planning","RICAP 6","Novick, Steve","Daniel E Jarman",
"Airbnb, Inc.","02/14/2014","Telephone","Planning","RICAP 6","Hales, Charlie","Daniel E Jarman",
"Airbnb, Inc.","02/14/2014","Personal Meeting","Planning","RICAP 6","Dingfelder, Jackie","Daniel E Jarman",
"Airbnb, Inc.","02/15/2014","Email","Planning","RICAP 6","Dingfelder, Jackie","Daniel E Jarman",
"Airbnb, Inc.","02/20/2014","Telephone","Planning","RICAP 6","Alpert, Josh","Daniel E Jarman",
"Airbnb, Inc.","02/20/2014","Email","Planning","RICAP 6","Alpert, Josh; Dingfelder, Jackie","Daniel E Jarman",
"Airbnb, Inc.","02/25/2014","Personal Meeting","Planning","RICAP 6","Alarcon, Amalia ","Daniel E Jarman",
"Airbnb, Inc.","02/25/2014","Personal Meeting","Planning","RICAP 6","Alpert, Josh; Dingfelder, Jackie","Daniel E Jarman",
"Airbnb, Inc.","02/25/2014","Email","Planning","RICAP 6","Alpert, Josh; Hanyes, Dana","Daniel E Jarman",
"Airbnb, Inc.","02/28/2014","Telephone","Planning","RICAP 6","Alpert, Josh","Daniel E Jarman",
"Airbnb, Inc.","02/28/2014","Email","Planning","RICAP 6","Alpert, Josh","Daniel E Jarman",
"Google Inc.","01/31/2014","Direct Mail","Cable and Franchise","Broadband and Video Service Discussions","Hales, Charlie","Gilbert Gallardo",
"Google Inc.","01/22/2014","Personal Meeting","Cable and Franchise","Discussion - Arts, Business & Economic Development, Business Licenses, Education, Cable & Franchise, Financial Administration and Management, Parks & Rec. - Community Centers, Planning, Urban Renewal","Finn, Brendan; Shibley, Gail","Darcy Nothnagle; Ketan Chaukar",
"Google Inc.","01/31/2014","Personal Meeting","Cable and Franchise","Discussion - Arts, Business & Economic Development, Business Licenses, Education, Cable & Franchise, Financial Administration and Management, Parks & Rec. - Community Centers, Planning, Urban Renewal","Hales, Charlie; Hanyes, Dana; Robinson, Matthew","Darcy Nothnagle; Ketan Chaukar",
"Google Inc.","02/14/2014","Personal Meeting","Cable and Franchise","Discussion - Arts, Business & Economic Development, Business Licenses, Education, Cable & Franchise, Financial Administration and Management, Parks & Rec. - Community Centers, Planning, Urban Renewal","Fish, Nick; Fritz, Amanda; Novick, Steve; Saltzman, Dan","Darcy Nothnagle; Ketan Chaukar",
"Google Inc.","02/18/2014","Telephone","Cable and Franchise","Discussion of Announcement","Hanyes, Dana","Darcy Nothnagle",
"Google Inc.","02/19/2014","Personal Meeting","Cable and Franchise","Press Event, Announcement","Hanyes, Dana; Shibley, Gail","Darcy Nothnagle",
"League of Women Voters of Portland","03/13/2014","Personal Meeting","Urban Renewal","Mayor's proposed changes to U.R.","Macnamara, Ed","Debbie Aiona",
"League of Women Voters of Portland","03/26/2014","Personal Meeting","Urban Renewal","Mayor's proposed changes to U.R.","Fritz, Amanda","Debbie Aiona",
"League of Women Voters of Portland","03/28/2014","Personal Meeting","Urban Renewal","Mayor's proposed changes to U.R.","Hales, Charlie; Macnamara, Ed","Debbie Aiona; Kathleen Hersh",
"League of Women Voters of Portland","03/28/2014","Personal Meeting","Other","low income housing, urban renewal, environment/economy,  parks, police","Fritz, Amanda","Debbie Aiona; Kathleen Hersh; Margaret Noel; Mary McWilliams",
"League of Women Voters of Portland","03/30/2014","Email","Urban Renewal","Mayor's proposed changes to U.R.","Fritz, Amanda","Debbie Aiona",
"League of Women Voters of Portland","03/31/2014","Email","Urban Renewal","Mayor's proposed changes to U.R.","Macnamara, Ed","Debbie Aiona",
"League of Women Voters of Portland","03/31/2014","Email","Police and Public Safety","Joint Terrorism Task Force annual report","Fish, Nick; Fritz, Amanda; Hales, Charlie; Novick, Steve; Saltzman, Dan","Debbie Aiona; Kathleen Hersh; Margaret Noel",
"Oregon Citizens' Utility Board","01/10/2014","Email","Other: Sewer/Stormwater","CBO Meeting set-up","Blackwood, Jim","Jeff Bissonnette",
"Oregon Citizens' Utility Board","01/10/2014","Email","Water","Regional Water Consortium","Schmanski, Sonia","Jeff Bissonnette",
"Oregon Citizens' Utility Board","02/10/2014","Email","Other: Sewer/Stormwater","Inserts","Schmanski, Sonia","Bob Jenks; Jeff Bissonnette",
"Oregon Citizens' Utility Board","02/18/2014","Email","Other: Sewer/Stormwater","Inserts","Schmanski, Sonia","Bob Jenks; Jeff Bissonnette",
"Oregon Citizens' Utility Board","03/12/2014","Email","Other: Sewer/Stormwater","Utility Rate Hearing","Blackwood, Jim","Jeff Bissonnette",
"Oregon Citizens' Utility Board","03/13/2014","Email","Other: Sewer/Stormwater","MOA Finalization","Schmanski, Sonia","Jeff Bissonnette",
