"Entity","Contact date","Contact type","Subject","Action of interest","City official(s)","Lobbyist(s)",
"Business For A Better Portland","01/15/2021","Virtual Meeting","Business and Economic Development","Economic Recovery Issues","Diaz, Sam; Schmanski, Sonia; Tran, Khanh","Elizabeth Ashley Henry",
"Business For A Better Portland","01/08/2021","Virtual Meeting","Business and Economic Development","Discuss a BBPDX event","Hardesty, Jo Ann","Elizabeth Ashley Henry",
"Business For A Better Portland","01/22/2021","Virtual Meeting","Business and Economic Development","Economic Recovery Issues","Branam, Kimberly","Elizabeth Ashley Henry",
"Business For A Better Portland","01/27/2021","Virtual Meeting","Business and Economic Development","Economic Recovery Issues","Jill Weir; Meyer, Katie","Elizabeth Ashley Henry",
"Business For A Better Portland","02/02/2021","Telephone","Business and Economic Development","Economic Recovery Issues","Allen, Seraphie","Elizabeth Ashley Henry",
"Business For A Better Portland","02/02/2021","Virtual Meeting","Business and Economic Development","Discuss a BBPDX event","Ryan, Dan","Elizabeth Ashley Henry",
"Business For A Better Portland","02/19/2021","Telephone","Business and Economic Development","Economic Recovery","Lee, Bobby","Elizabeth Ashley Henry",
"Business For A Better Portland","02/24/2021","Virtual Meeting","Business and Economic Development","Restaurant Relief Funding, etc.","Adams, Sam; Tran, Khanh","Elizabeth Ashley Henry",
"Business For A Better Portland","02/26/2021","Virtual Meeting","Business and Economic Development","Restaurant Relief Funding, etc.","Adams, Sam; Tran, Khanh; Wheeler, Ted","Elizabeth Ashley Henry",
"Business For A Better Portland","03/05/2021","Virtual Meeting","Business and Economic Development","economic recovery","Lee, Bobby","Elizabeth Ashley Henry",
"Business For A Better Portland","03/15/2021","Virtual Meeting","Business and Economic Development","BBPDX Town Hall","Hardesty, Jo Ann","Elizabeth Ashley Henry",
"Business For A Better Portland","03/16/2021","Virtual Meeting","Business and Economic Development","BBPDX Town Hall","Mapps, Mingus","Elizabeth Ashley Henry",
"Business For A Better Portland","03/18/2021","Virtual Meeting","Business and Economic Development","BBPDX Town Hall","Ryan, Dan","Elizabeth Ashley Henry",
"Business For A Better Portland","03/19/2021","Virtual Meeting","Business and Economic Development","BBPDX Town Hall","Rubio, Carmen","Elizabeth Ashley Henry",
"Business For A Better Portland","01/06/2021","Email","Business and Economic Development","scheduling re: economic recovery","Gadberry, Elizabeth","Adrienne Leverette",
"Business For A Better Portland","01/08/2021","Virtual Meeting","Business and Economic Development","narratives around homelessness crisis","Edwards, Karly; McNally, Matt","Adrienne Leverette",
"Business For A Better Portland","01/13/2021","Email","Business and Economic Development","scheduling re: economic recovery","Tran, Khanh","Adrienne Leverette",
"Business For A Better Portland","01/14/2021","Email","Business and Economic Development","scheduling re: economic recovery","Gadberry, Elizabeth","Adrienne Leverette",
"Business For A Better Portland","01/19/2021","Email","Business and Economic Development","small business concerns","Jill Weir; Meyer, Katie","Adrienne Leverette",
"Business For A Better Portland","01/27/2021","Email","Business and Economic Development","member forum scheduling","Jill Weir","Adrienne Leverette",
"Business For A Better Portland","01/27/2021","Virtual Meeting","Business and Economic Development","economic recovery concerns","Jill Weir; Mapps, Mingus; Meyer, Katie","Adrienne Leverette",
"Business For A Better Portland","02/02/2021","Email","Business and Economic Development","member forum scheduling","Bradley, Derek; Edwards, Karly; Hardesty, Jo Ann; Martin, Lyne; McNally, Matt","Adrienne Leverette",
"Business For A Better Portland","02/02/2021","Email","Business and Economic Development","member forum scheduling","Gadberry, Elizabeth","Adrienne Leverette",
"Business For A Better Portland","02/02/2021","Virtual Meeting","Business and Economic Development","economic recovery concerns","Ryan, Dan","Adrienne Leverette",
"Business For A Better Portland","02/03/2021","Email","Business and Economic Development","member forum planning","Gadberry, Elizabeth","Adrienne Leverette",
"Business For A Better Portland","02/07/2021","Email","Business and Economic Development","member forum planning","Castro, Cynthia; Kwon, MeeSeon; Lujan-Valerio, Ricardo","Adrienne Leverette",
"Business For A Better Portland","02/07/2021","Email","Housing and Community Development","member forum planning","Bond, Mark; Torres, Kellie","Adrienne Leverette",
"Business For A Better Portland","02/24/2021","Virtual Meeting","Business and Economic Development","economic recovery concerns","Adams, Sam; Tran, Khanh","Adrienne Leverette",
"Business For A Better Portland","02/26/2021","Virtual Meeting","Business and Economic Development","economic recovery concerns","Adams, Sam; Tran, Khanh; Wheeler, Ted","Adrienne Leverette",
"Business For A Better Portland","03/04/2021","Email","Business and Economic Development","member forum planning","Hardesty, Jo Ann; Martin, Lyne; McNally, Matt","Adrienne Leverette",
"Business For A Better Portland","03/04/2021","Email","Business and Economic Development","member forum planning","Martin, Lyne","Adrienne Leverette",
"Business For A Better Portland","03/05/2021","Email","Business and Economic Development","member forum planning","Jill Weir","Adrienne Leverette",
"Business For A Better Portland","03/11/2021","Email","Business and Economic Development","member forum planning","Gadberry, Elizabeth","Adrienne Leverette",
"Business For A Better Portland","03/15/2021","Email","Business and Economic Development","member forum planning","Gadberry, Elizabeth","Adrienne Leverette",
"Business For A Better Portland","03/15/2021","Email","Business and Economic Development","member forum planning","Gadberry, Elizabeth","Adrienne Leverette",
"Business For A Better Portland","03/15/2021","Virtual Meeting","Business and Economic Development","member forum ","Hardesty, Jo Ann","Adrienne Leverette",
"Business For A Better Portland","03/16/2021","Email","Business and Economic Development","member forum planning","Gadberry, Elizabeth; Torres, Kellie","Adrienne Leverette",
"Business For A Better Portland","03/16/2021","Virtual Meeting","Business and Economic Development","member forum","Mapps, Mingus","Adrienne Leverette",
"Business For A Better Portland","03/17/2021","Email","Business and Economic Development","member list","Kwon, MeeSeon","Adrienne Leverette",
"Business For A Better Portland","03/18/2021","Email","Housing and Community Development","member introduction","Jill Weir","Adrienne Leverette",
