"Entity","Contact date","Contact type","Subject","Action of interest","City official(s)","Lobbyist(s)",
"AT&T","06/14/2021","Email","Other: Emergency Broadband Benefit Program (EBB)","George Granger responded to Rebecca Gibbons 4/8/21 e-mail and conveyed information regarding AT&T’s involvement with the EBB program. Ms. Perez was cc'd on Mr. Granger’s response to Ms. Gibbons.","Perez, Elisabeth","George Granger",
"AT&T","04/08/2021","Email","Other: Emergency Broadband Benefit Program.","Elisabeth Perez was cc’d on an e-mail from Rebecca Gibbons to George Granger. Ms. Gibbons requested information regarding AT&T’s involvement in the Emergency Broadband Benefit program.","Perez, Elisabeth","George Granger",
"Business For A Better Portland","05/11/2021","Virtual Meeting","Financial Administration and Management","Budget discussion","Carney, Shannon; Meyer, Katie","Elizabeth Ashley Henry",
"Business For A Better Portland","05/11/2021","Virtual Meeting","Financial Administration and Management","Budget","Jill Weir","Elizabeth Ashley Henry",
"Business For A Better Portland","05/12/2021","Email","Fire, Rescue and Emergency Services","Portland Street Response","Hardesty, Jo Ann; Mapps, Mingus; Rubio, Carmen; Ryan, Dan; Wheeler, Ted","Elizabeth Ashley Henry",
"Business For A Better Portland","05/12/2021","Email","Fire, Rescue and Emergency Services","Portland Street Response","Edwards, Karly","Elizabeth Ashley Henry",
"Business For A Better Portland","05/12/2021","Telephone","Fire, Rescue and Emergency Services","Portland Street Response","Edwards, Karly","Elizabeth Ashley Henry",
"Business For A Better Portland","04/28/2021","Email","COVID-19 Issues","Clean and Green Action","Watson, Amanda","Elizabeth Ashley Henry",
"Business For A Better Portland","04/28/2021","Email","Financial Administration and Management","Downtown Clean and Safe","Rinehart, Tom","Elizabeth Ashley Henry",
"Business For A Better Portland","04/29/2021","Email","COVID-19 Issues","Scheduling","Diaz, Sam","Elizabeth Ashley Henry",
"Business For A Better Portland","04/30/2021","Email","COVID-19 Issues","Events Action Table","Diaz, Sam","Elizabeth Ashley Henry",
"Business For A Better Portland","04/30/2021","Email","Financial Administration and Management","Downtown Clean and Safe","Rinehart, Tom","Elizabeth Ashley Henry",
"Business For A Better Portland","05/06/2021","Virtual Meeting","Fire, Rescue and Emergency Services","Portland Street Response","Johnson, Kristin","Elizabeth Ashley Henry",
"Business For A Better Portland","05/08/2021","Email","Business and Economic Development","Homeless Services","Allen, Seraphie","Elizabeth Ashley Henry",
"Business For A Better Portland","05/10/2021","Email","Fire, Rescue and Emergency Services","Portland Street Response","Schwartz, Mona","Elizabeth Ashley Henry",
"Business For A Better Portland","05/10/2021","Email","Fire, Rescue and Emergency Services","Portland Street Response","Johnson, Kristin","Elizabeth Ashley Henry",
"Business For A Better Portland","05/10/2021","Email","Fire, Rescue and Emergency Services","Scheduling meeting","Johnson, Kristin","Elizabeth Ashley Henry",
"Business For A Better Portland","05/10/2021","Virtual Meeting","Fire, Rescue and Emergency Services","Portland Street Response","Johnson, Kristin","Elizabeth Ashley Henry",
