"Entity","Contact date","Contact type","Subject","Action of interest","City official(s)","Lobbyist(s)",
"Airbnb, Inc.","07/03/2017","Email","Other: Revenue","Short term rental data subpoena and ordinance changes","Chisek, Kyle ; Crail, Tim; Duhamel, Jamey; Eudaly, Chloe; Fish, Nick; Fritz, Amanda; Grumm, Matthew; Henderson, Maurice; Lannom, Thomas; Saltzman, Dan; Schmanski, Sonia; Wheeler, Ted","Dan Jarman",
"Airbnb, Inc.","07/05/2017","Email","Other: Revenue","Short term rental data subpoena and ordinance changes","Crail, Tim; Fritz, Amanda","Dan Jarman",
"Airbnb, Inc.","07/05/2017","Telephone","Other: Revenue","Short term rental data subpoena and ordinance changes","Chisek, Kyle ; Grumm, Matthew","Dan Jarman",
"Airbnb, Inc.","07/11/2017","Email","Other: Revenue","Short term rental data subpoena and ordinance changes","Chisek, Kyle ; Henderson, Maurice","Dan Jarman",
"Airbnb, Inc.","07/12/2017","Telephone","Other: Revenue","Short term rental data subpoena and ordinance changes","Chisek, Kyle ","Dan Jarman",
"Airbnb, Inc.","07/20/2017","Text Message","Other: Revenue","Short term rental data subpoena and ordinance changes","Chisek, Kyle ","Dan Jarman",
"Airbnb, Inc.","07/21/2017","Telephone","Other: Revenue","Short term rental data subpoena and ordinance changes","Chisek, Kyle ","Dan Jarman",
"Airbnb, Inc.","07/24/2017","Email","Other","Short term rental data subpoena and ordinance changes","Chisek, Kyle ; Henderson, Maurice","Dan Jarman",
"Airbnb, Inc.","08/10/2017","Personal Meeting","Other: Planning; Housing and Community Development","Changes to short term rental ordinance","Duhamel, Jamey; Eudaly, Chloe; Lannom, Thomas; Runkel, Marshall","Dan Jarman; Laura Spanjian",
"Airbnb, Inc.","08/11/2017","Personal Meeting","Other: Planning; Housing and Community Development","Changes to short term rental ordinance","Fish, Nick; Schmanski, Sonia","Dan Jarman; Laura Spanjian",
"Airbnb, Inc.","08/11/2017","Personal Meeting","Planning","Changes to short term rental ordinance","Crail, Tim","Dan Jarman",
"Airbnb, Inc.","08/12/2017","Email","Planning","Changes to short term rental ordinance","Fish, Nick; Schmanski, Sonia","Dan Jarman",
"Airbnb, Inc.","08/12/2017","Email","Planning","Changes to short term rental ordinance","Duhamel, Jamey; Eudaly, Chloe; Runkel, Marshall","Dan Jarman",
"Airbnb, Inc.","08/14/2017","Email","Planning","Changes to short term rental ordinance","Fish, Nick; Lannom, Thomas; Schmanski, Sonia","Dan Jarman",
"Airbnb, Inc.","08/15/2017","Email","Planning","Changes to short term rental ordinance","Chisek, Kyle ; Grumm, Matthew; Henderson, Maurice; Rinehart, Tom","Dan Jarman",
"Airbnb, Inc.","08/22/2017","Personal Meeting","Planning","Changes to short term rental ordinance","Grumm, Matthew","Dan Jarman",
"Airbnb, Inc.","08/22/2017","Email","Planning","Changes to short term rental ordinance","Chisek, Kyle ; Schmanski, Sonia","Dan Jarman",
"Airbnb, Inc.","08/30/2017","Email","Other: Emergency Management","Report on Airbnb Texas relief activities","Chisek, Kyle ; Crail, Tim; Duhamel, Jamey; Eudaly, Chloe; Fish, Nick; Fritz, Amanda; Grumm, Matthew; Henderson, Maurice; Runkel, Marshall; Saltzman, Dan; Schmanski, Sonia; Wheeler, Ted","Dan Jarman",
"Airbnb, Inc.","09/15/2017","Personal Meeting","Planning","Changes to short term rental ordinance","Chisek, Kyle ","Dan Jarman",
"Airbnb, Inc.","09/22/2017","Text Message","Planning","Changes to short term rental ordinance","Chisek, Kyle ","Dan Jarman",
"Airbnb, Inc.","09/27/2017","Personal Meeting","Planning","Changes to short term rental ordinance","Arguinzoni, Jennifer ; Chisek, Kyle ","Dan Jarman",
"Axon Enterprise, Inc.","08/02/2017","Email","Other: Body Worn Cameras","Request to discuss the politics of implementing body worn cameras in the city of Portland","Nelson, Berk","Shaun Jillions",
"Axon Enterprise, Inc.","08/31/2017","Personal Meeting","Other: Body Worn Cameras","Meeting to discuss body worn camera program","Grant, Nicole; Nelson, Berk","Shaun Jillions",
"Axon Enterprise, Inc.","09/07/2017","Email","Other: Body Worn Cameras","Request for sample policies from other jurisdiction","Grant, Nicole","Shaun Jillions",
"Axon Enterprise, Inc.","09/13/2017","Email","Other: Body Worn Cameras","Supplied response to request regarding sample policies, background information on body worn camera programs as well as information on previously held community meetings","Grant, Nicole","Shaun Jillions",
"Enhabit","09/11/2017","Email","Housing and Community Development","Home Energy Score","Valderrama, Andrea","Nels Johnson",
"Enhabit","09/15/2017","Personal Meeting","Housing and Community Development","Home Energy Score","Howard, Nathan; Valderrama, Andrea","Nels Johnson",
"Enhabit","09/11/2017","Email","Housing and Community Development","Home Energy Score","Duhamel, Jamey","Nels Johnson",
"Enhabit","09/15/2017","Personal Meeting","Housing and Community Development","Home Energy Score","Duhamel, Jamey","Nels Johnson",
"Enhabit","09/11/2017","Email","Housing and Community Development","Home Energy Score","Dunphy, Jamie","Nels Johnson",
"Enhabit","09/15/2017","Personal Meeting","Housing and Community Development","Home Energy Score","Dunphy, Jamie","Nels Johnson",
"Enhabit","09/11/2017","Email","Housing and Community Development","Home Energy Score","Adamsick, Claire","Nels Johnson",
"Enhabit","09/27/2017","Personal Meeting","Housing and Community Development","Home Energy Score","Adamsick, Claire","Nels Johnson",
"Living Cully","07/06/2017","Email","Housing and Community Development","Manufactured Housing Preservation","Adamsick, Claire","Cameron Herrington",
"Living Cully","08/30/2017","Telephone","Housing and Community Development","Affordable housing in vicinity of Cully Park","Adamsick, Claire","Cameron Herrington",
"Living Cully","08/30/2017","Email","Housing and Community Development","Affordable housing in vicinity of Cully Park","Adamsick, Claire; Bhatt, Pooja","Cameron Herrington",
"Living Cully","08/31/2017","Email","Housing and Community Development","Manufactured Housing Preservation","Adamsick, Claire; Bhatt, Pooja","Cameron Herrington",
"Living Cully","09/19/2017","Email","Housing and Community Development","Affordable housing in vicinity of Cully Park","Bhatt, Pooja","Cameron Herrington",
"Living Cully","09/25/2017","Personal Meeting","Housing and Community Development","Manufactured Housing Preservation","Adamsick, Claire; Bhatt, Pooja; Fritz, Amanda","Cameron Herrington",
"Living Cully","09/28/2017","Email","Housing and Community Development","Manufactured Housing Preservation","Adamsick, Claire","Cameron Herrington",
"Living Cully","07/06/2017","Email","Housing and Community Development","Tenant Protections","Duhamel, Jamey","Cameron Herrington",
"Living Cully","07/10/2017","Email","Housing and Community Development","Tenant Protections","Duhamel, Jamey","Cameron Herrington",
"Living Cully","08/14/2017","Email","Housing and Community Development","Manufactured Housing Preservation","Duhamel, Jamey; Howard, Nathan","Cameron Herrington",
"Living Cully","08/24/2017","Email","Housing and Community Development","Tenant Protections","Duhamel, Jamey","Cameron Herrington",
"Living Cully","08/16/2017","Committee Meeting","Housing and Community Development","Tenant Protections","Duhamel, Jamey","Cameron Herrington",
"Living Cully","08/25/2017","Email","Housing and Community Development","Tenant Protections","Duhamel, Jamey","Cameron Herrington",
"Living Cully","09/28/2017","Email","Housing and Community Development","Tenant Protections","Duhamel, Jamey","Cameron Herrington",
"Living Cully","08/31/2017","Email","Housing and Community Development","Manufactured Housing Preservation","Duhamel, Jamey","Cameron Herrington",
"Living Cully","09/28/2017","Personal Meeting","Housing and Community Development","Manufactured Housing Preservation","Duhamel, Jamey","Cameron Herrington",
"Living Cully","08/31/2017","Email","Housing and Community Development","Manufactured Housing Preservation","Alexander, Cupid; Howard, Nathan; Valderrama, Andrea","Cameron Herrington",
"Living Cully","09/18/2017","Email","Housing and Community Development","Manufactured Housing Preservation","Alexander, Cupid; Howard, Nathan; Valderrama, Andrea","Cameron Herrington",
"Living Cully","09/20/2017","Personal Meeting","Housing and Community Development","Manufactured Housing Preservation","Alexander, Cupid; Howard, Nathan; Wheeler, Ted","Cameron Herrington",
"Living Cully","08/19/2017","Email","Housing and Community Development","Manufactured Housing Preservation","Spevak, Eli","Cameron Herrington",
"Living Cully","08/30/2017","Personal Meeting","Housing and Community Development","Manufactured Housing Preservation","Spevak, Eli","Cameron Herrington",
"Lyft, Inc.","07/14/2017","Email","Transportation: streets, sidewalks and street lighting","Transportation network company regulations","Runkel, Marshall","Amy Ruiz",
"Lyft, Inc.","07/24/2017","Personal Meeting","Transportation: streets, sidewalks and street lighting","Transportation network company regulations","Chisek, Kyle ; Finn, Brendan; Williams, Tia","Amy Ruiz",
"Lyft, Inc.","07/24/2017","Email","Transportation: streets, sidewalks and street lighting","Transportation network company regulations","Williams, Tia","Amy Ruiz",
"Lyft, Inc.","07/27/2017","Email","Transportation: streets, sidewalks and street lighting","Transportation network company regulations","Chisek, Kyle ","Amy Ruiz",
"Multifamily NW","07/20/2017","Personal Meeting","Other: Rental Services Committee","Attempting a better understanding of proposed stakeholder group, it's mission and scope.","Wheeler, Ted","Deborah Imse; Evyan Andries",
"Multifamily NW","07/18/2017","Meeting Preparation","Other: Rental Services Committee","Attempting a better understanding of proposed stakeholder group, it's mission and scope.","Wheeler, Ted","Deborah Imse; Evyan Andries",
"Multifamily NW","07/20/2017","Meeting Preparation","Other: Rental Services Committee","Attempting a better understanding of proposed stakeholder group, it's mission and scope.","Wheeler, Ted","Deborah Imse; Evyan Andries",
"Multifamily NW","08/01/2017","Direct Mail","Other: NW Portland Parking Rules","Lobbying against change of parking permits allotted to multifamily apartment residents.","Saltzman, Dan; Treat, Leah","Michael Lilly",
"No More Freeway Expansions","08/17/2017","Personal Meeting","Planning","Widening of Rose Quarter I-5 Freeway","Grumm, Matthew; Saltzman, Dan","Aaron Brown; Joe Cortright; Roberta Robles; Ronald A. Buel",
"No More Freeway Expansions","09/05/2017","Personal Meeting","Planning","Widening Rose Quarter I-5 Freeway","Chisek, Kyle ","Aaron Brown; Chris Smith; Joe Cortright; Ronald A. Buel",
"No More Freeway Expansions","08/31/2017","Personal Meeting","Planning","Widening Rose Quarter I-5 Freeway","Runkel, Marshall","Chris Smith",
"No More Freeway Expansions","09/05/2017","Personal Meeting","Planning","Widening Rose Quarter I-5 Freeway","Grumm, Matthew","Chris Smith",
"Old Town Pizza & Brewing","07/03/2017","Telephone","Financial Administration and Management","Trademark Issue","Arguinzoni, Jennifer ","Dan Jarman",
