"Entity","Contact date","Contact type","Subject","Action of interest","City official(s)","Lobbyist(s)",
"Broadway Cab LLC","07/02/2015","Personal Meeting","Business Licenses","Taxi regulation","Saltzman, Dan","Stephen Kafoury",
"Broadway Cab LLC","07/06/2015","Committee Meeting","Business Licenses","taxi regulation","Novick, Steve","Stephen Kafoury",
"Broadway Cab LLC","07/10/2015","Personal Meeting","Business Licenses","taxi regulation","Frost, Liam","Stephen Kafoury",
"Broadway Cab LLC","07/13/2013","Personal Meeting","Business Licenses","taxi regulation","Fritz, Amanda","Stephen Kafoury",
"Broadway Cab LLC","08/13/2015","Personal Meeting","Business Licenses","taxi regulation","Alpert, Josh","Stephen Kafoury",
"Broadway Cab LLC","08/14/2015","Personal Meeting","Business Licenses","taxi regulation","Saltzman, Dan","Stephen Kafoury",
"Broadway Cab LLC","08/14/2014","Personal Meeting","Business Licenses","taxi regulation","Frost, Liam","Stephen Kafoury",
"Broadway Cab LLC","08/14/2015","Email","Business Licenses","taxi regulation","Frost, Liam","Stephen Kafoury",
"Broadway Cab LLC","08/17/2014","Personal Meeting","Business and Economic Development","taxi regulation","Novick, Steve","Raye Miles",
"Broadway Cab LLC","08/17/2015","Email","Business Licenses","taxi regulation","Novick, Steve","Stephen Kafoury",
"Broadway Cab LLC","08/18/2015","Email","Business and Economic Development","taxi regulation","Hockaday Bryan","Stephen Kafoury",
"Broadway Cab LLC","08/18/2015","Telephone","Business Licenses","taxi regulation","Fish, Nick","Stephen Kafoury",
"Broadway Cab LLC","08/19/2015","Email","Business Licenses","taxi regulation","Hales, Charlie","Stephen Kafoury",
"Broadway Cab LLC","08/26/2015","Committee Meeting","Business Licenses","taxi regulation","Saltzman, Dan","Stephen Kafoury",
"Broadway Cab LLC","08/27/2015","Personal Meeting","Business Licenses","taxi regulation","Dunphy, Jamie","Stephen Kafoury",
"Broadway Cab LLC","08/28/2015","Email","Business Licenses","taxi regulation","Dunphy, Jamie","Stephen Kafoury",
"Broadway Cab LLC","09/04/2016","Telephone","Business Licenses","taxi regulation","Dunphy, Jamie","Stephen Kafoury",
"Broadway Cab LLC","09/10/2015","Email","Business Licenses","taxi regulation","Hockaday Bryan","Stephen Kafoury",
"Broadway Cab LLC","09/28/2015","Personal Meeting","Business Licenses","taxi regulation","Saltzman, Dan","Stephen Kafoury",
